alpha_2,region,,flag,行政区划:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
CN,福建省,福建省,https://img.ixintu.com/download/jpg/201912/c34de0247ba1e481695d00f7d17a6246.jpg!con,华东地区,CN-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,9,9,10,11,11,11,15,19,22,23,24,28,28,28,30,31,31,32,32,32,32,33,34,35,36,37,38,40,42,42,42,44,44,44,46,46,50,50,50,54,54,58,58,141,241,301,380,428,474,552,552,583,651,691,727,727,727,727,727,727,727,727,727,727,727,727,727,727,727,790,790,790,790,790,790,790,790,790,839,839,839,839,839,839,839,839,839,839,839,882,882,882,925,956,956,1011,1039,1090,1090,1117,1117,1117,1117,1172,1172,1172,1197,1197,1197,1197,1227,1292,1308,1339,1400,1416,1478,1531,1549,1584,1621,1638,1656,1692,1692,1692,1692,1692,1718,1718,1718,1773,1773,1773,1773,1773,1795,1795,1795,1795,1795,1795
CN,江苏省,江苏省,https://img.ixintu.com/upload/jpg/20210523/19807181cab3076cfb28804e4c164565_29801_580_435.jpg!con,华东地区,CN-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,4,5,5,6,7,9,15,19,20,21,23,24,25,26,27,27,30,31,32,32,34,35,37,37,38,39,39,39,39,40,40,40,42,44,44,46,46,46,47,49,50,54,154,254,324,401,445,500,548,601,619,639,639,639,693,693,693,693,693,693,693,693,693,693,756,821,821,821,821,821,821,821,858,893,893,893,893,918,918,918,918,918,918,918,937,955,955,976,976,976,993,993,993,1007,1020,1048,1048,1062,1075,1088,1101,1114,1114,1132,1132,1157,1213,1226,1240,1254,1254,1268,1282,1296,1327,1327,1363,1381,1399,1418,1418,1437,1455,1474,1492,1510,1510,1538,1553,1586,1598,1598,1598,1622,1622,1622,1631,1631,1651,1651,1651
CN,广东省,广东省,https://img.ixintu.com/upload/jpg/20210523/a09af10e112997946988f334505d9bfe_34181_580_435.jpg!con,中南地区,CN-44,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,14,20,24,28,31,33,34,35,37,39,41,44,45,47,48,51,53,55,58,60,64,66,69,74,80,87,89,93,96,100,103,108,111,116,119,122,127,130,133,137,141,144,149,153,156,158,161,164,166,170,174,178,180,182,185,189,193,198,201,202,291,391,457,536,583,616,647,668,685,709,716,740,752,760,775,801,825,833,842,850,850,859,866,873,873,888,892,896,900,904,907,912,914,916,921,936,942,945,953,966,981,996,1026,1031,1042,1045,1056,1066,1083,1106,1115,1126,1136,1147,1162,1180,1186,1197,1211,1228,1243,1256,1266,1276,1281,1296,1318,1330,1344,1354,1366,1378,1388,1396,1410,1423,1431,1450,1458,1468,1481,1494,1501,1515,1526,1532,1537,1544,1551,1562,1567,1576,1583,1589,1596,1601,1609,1613,1621
CN,四川省,四川省,https://img.ixintu.com/download/jpg/201912/d2d24d419fa60c407cc43cd034a84359.jpg!con,西南地区,CN-51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,6,6,6,6,6,7,8,8,8,9,9,9,11,11,14,17,17,18,18,19,20,21,22,23,23,24,25,26,26,26,26,27,28,29,31,32,32,32,32,32,33,34,36,36,36,37,37,38,43,43,44,133,233,330,409,471,524,601,645,688,688,688,688,688,688,688,688,756,756,756,756,756,756,756,756,756,756,756,794,794,794,794,794,794,794,794,794,794,827,827,827,827,848,868,887,887,887,912,912,934,934,974,974,1009,1026,1026,1026,1026,1043,1043,1043,1060,1082,1098,1127,1140,1155,1184,1198,1198,1229,1229,1246,1246,1269,1289,1289,1289,1308,1324,1324,1324,1324,1324,1324,1368,1368,1385,1385,1414,1435,1445,1445,1459,1476,1476,1476,1476,1488,1503
CN,北京市,北京市,https://img.ixintu.com/download/jpg/201912/62597f86301fc31afd03aaeb24ab5a73.jpg!con,华北地区,CN-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,7,7,8,8,9,9,9,9,9,9,9,9,10,10,11,11,11,12,13,14,16,20,21,22,23,23,25,26,27,27,28,28,30,31,32,32,32,33,34,35,36,37,37,39,40,41,42,43,44,44,44,44,44,44,44,44,50,53,153,244,291,330,370,377,377,384,391,391,421,433,473,473,491,491,519,519,541,541,541,541,541,541,541,541,550,550,559,568,568,574,574,580,589,613,619,646,660,685,694,711,728,748,764,773,785,793,808,814,836,845,856,862,881,892,899,909,924,940,954,963,971,988,1000,1015,1027,1057,1070,1092,1099,1119,1137,1146,1152,1173,1194,1213,1217,1217,1221,1226,1246,1275,1275,1282,1296,1303,1319,1335,1353,1364,1371,1387,1403,1410,1424,1431,1449
CN,上海市,上海市,https://img.ixintu.com/download/jpg/201912/6d2ea4d3101c4d3b91a052d624183bcb.jpg!con,华东地区,CN-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,5,5,5,6,6,9,10,11,15,20,21,23,24,27,27,29,30,33,33,33,34,34,34,35,36,37,38,42,43,44,44,45,47,49,49,51,54,55,56,56,56,56,56,61,63,163,243,292,348,372,397,419,433,447,470,479,501,501,530,546,588,612,612,629,629,629,629,629,629,629,629,629,643,643,648,652,652,658,671,677,688,696,704,722,735,752,763,769,775,786,793,811,830,848,857,867,887,909,919,929,947,960,973,985,1006,1019,1019,1023,1039,1051,1055,1064,1097,1118,1123,1136,1146,1146,1178,1178,1191,1204,1210,1215,1226,1237,1237,1242,1247,1259,1268,1280,1286,1297,1315,1323,1330,1343,1355,1365,1390,1398,1417,1417
CN,浙江省,浙江省,https://img.ixintu.com/upload/jpg/20210524/d68df5a7d93ff2660bb0ca441e507b47_25601_580_435.jpg!con,华东地区,CN-33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,5,5,6,7,9,13,15,15,16,16,18,19,21,24,26,26,27,28,28,28,28,28,30,30,31,32,32,32,34,35,35,35,35,37,37,38,40,41,42,42,43,45,128,228,284,339,386,393,437,460,471,484,498,511,511,551,551,583,583,583,583,609,609,609,609,632,632,632,649,649,649,649,649,663,678,678,678,678,709,758,758,770,770,823,854,854,854,854,865,865,875,903,920,944,944,966,991,1016,1023,1030,1055,1055,1062,1062,1069,1076,1089,1116,1127,1139,1145,1145,1152,1152,1170,1170,1170,1170,1181,1202,1219,1229,1240,1240,1240,1240,1254,1254,1268,1277,1277,1293,1293,1300,1300,1325,1325,1331,1331,1340,1340
CN,山东省,山东省,https://img.ixintu.com/upload/jpg/20210525/82567f17f736c23a163b0e30147129fa_36268_580_435.jpg!con,华东地区,CN-37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,7,7,9,12,12,13,14,18,19,19,19,19,19,19,19,19,20,20,20,20,21,22,23,23,23,23,24,24,27,27,27,28,29,30,34,35,36,36,36,109,182,244,320,352,361,398,420,447,476,476,503,576,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,676,714,749,749,749,749,749,749,768,785,785,785,785,785,800,800,800,800,813,813,813,836,836,847,861,861,861,893,919,919,942,942,942,966,994,994,994,994,1021,1021,1021,1049,1049,1049,1049,1049,1049,1049,1049,1081,1146,1189,1189,1208,1208,1222,1237,1237,1237,1250,1265,1265,1265,1277,1277
CN,湖北省,湖北省,https://img.ixintu.com/download/jpg/201912/fc04a808f8dca2a7a5c74834456a00f0.jpg!con,中南地区,CN-42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,3,3,3,3,7,8,9,9,14,16,17,17,19,19,19,20,20,21,22,24,25,25,27,28,28,31,31,31,31,31,31,33,34,37,39,39,41,41,41,43,131,231,285,342,388,442,496,528,558,589,624,624,624,624,624,624,624,624,624,624,681,681,681,681,681,681,715,715,715,715,715,715,715,715,715,715,715,715,715,715,715,715,772,772,772,772,772,772,772,772,772,772,772,772,772,798,798,817,834,867,888,915,915,915,961,961,961,961,961,961,1034,1034,1034,1034,1034,1034,1034,1071,1071,1071,1071,1071,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
CN,陕西省,陕西省,https://img.ixintu.com/download/jpg/201912/4298c16406c5ef10957afe92eba79628.jpg!con,西北地区,CN-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,7,9,10,10,11,11,12,12,12,12,13,13,14,14,15,16,17,18,18,21,22,22,22,22,24,24,24,24,26,26,28,28,30,30,32,32,32,78,125,173,230,260,287,287,317,317,317,368,406,406,406,406,406,406,406,406,406,406,406,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,506,578,578,611,611,611,611,611,611,611,645,645,645,645,645,645,645,672,672,672,693,693,693,726,746,767,767,767,767,860,860,860,885,885,885,924,924,924,924,924,924,924,924,924,924,954,954,954,968,979,979,1002,1002,1002,1002,1002,1016,1016,1016,1016,1016
