alpha_2,region,,flag,2021-12-08,2021-12-09,2021-12-10,2021-12-11,2021-12-12,2021-12-13,2021-12-14,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06
TH,泰国,泰国,https://www.fluentpython.com/data/flags/th/th.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,27,27,27,36,52,52,52,70,70,80,89,187,249,349,423,480,530,567,585,594,594,638,667,716,743,770,779,779,788,788,798,798,798,816,816,816,816,816
MY,马来西亚,马来西亚,https://www.fluentpython.com/data/flags/my/my.gif,0,1,1,2,2,3,3,3,4,5,5,5,5,5,5,5,6,6,6,6,6,6,7,8,9,9,9,9,9,10,11,11,11,12,14,14,14,15,15,15,15,16,17,20,21,25,25,25,26,28,28,29,32,39,39,40,44,45,55,71,85,112,210,310,360,389,433,488,526,568,588,610,669,701,724,744,753,761,766,772,777,782,783,785,789,795,797,798,798
PR,波多黎各,波多黎各,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Flag_of_Puerto_Rico.svg/250px-Flag_of_Puerto_Rico.svg.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,195,295,391,491,491,491,590,687,687,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
IN,印度,印度,https://www.fluentpython.com/data/flags/in/in.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,15,22,22,22,29,36,53,61,84,158,206,236,293,316,416,423,452,487,561,627,667,692,715,722,722,722,729,729,729,729,729,729,743,743,743,743
TR,土耳其,土耳其,https://www.fluentpython.com/data/flags/tr/tr.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,13,13,13,13,13,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,42,57,57,74,74,135,235,265,295,326,359,411,470,470,485,500,545,579,631,674,688,702,702,715,715,715,715,715,715,715,715,715,715
IL,以色列,以色列,https://www.fluentpython.com/data/flags/il/il.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,65,65,65,65,65,65,65,65,165,262,328,328,370,370,370,402,402,402,484,562,626,658,658,691,691,691,691,691,691,691,691,691,691,691,691
SK,斯洛伐克,斯洛伐克,https://www.fluentpython.com/data/flags/sk/sk.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,55,135,162,162,218,287,351,404,404,404,431,488,588,620,620,620,620,620,620,620,620,620,620,648,648,648,648,648
KR,韩国,韩国,https://www.fluentpython.com/data/flags/kr/kr.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,8,8,8,8,8,8,8,8,12,16,16,16,16,16,16,16,16,16,20,20,20,27,31,31,31,31,31,31,35,39,39,39,39,39,39,39,39,39,39,39,44,44,44,48,56,68,86,186,240,287,317,330,346,370,381,392,399,448,465,477,502,572,597,600,603,611,611,614,621,628,628,628,633,633
SI,斯洛文尼亚,斯洛文尼亚,https://www.fluentpython.com/data/flags/si/si.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,99,134,176,176,176,216,248,348,348,348,348,379,379,379,379,451,451,491,555,555,591,591,591,591,591,591,624,624,624,624,624,624
IR,伊朗,伊朗,https://www.fluentpython.com/data/flags/ir/ir.gif,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,45,45,45,45,45,45,45,45,45,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,179,226,326,377,377,377,419,419,419,419,419,464,464,464,464,464,464,514,514,514,514,567,567,567,621,621,621
