alpha_2,region,,flag,大洲:,origin name,Let's Go,,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18
PG,巴布亚,巴布亚,https://www.fluentpython.com/data/flags/pg/pg.gif,澳洲,Papua New Guinea,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,8,8,8,9,10,10,11,12,14,14,15,17,20,20,22,24,24,26,27,27,28,28,31,36,37,41,45,46,46,48,53,54,61,70,118,200,297,379,469,569,645,711,792,860,919,974,1018,1093,1153,1202,1247,1292,1328,1362,1362,1362,1362
UG,乌干达,乌干达,https://www.fluentpython.com/data/flags/ug/ug.gif,非洲,Uganda,0,0,0,1,1,2,2,2,2,2,3,3,3,4,5,5,6,7,8,9,10,11,11,11,11,12,13,14,14,14,14,15,16,17,19,20,21,24,28,32,35,38,41,43,45,46,47,48,49,50,51,53,54,55,57,59,63,67,71,75,79,83,88,91,94,100,109,118,180,280,363,450,546,634,720,800,871,928,972,1021,1072,1113,1159,1197,1236,1269,1310,1344,1344,1344,1344
TJ,塔吉克斯坦,塔吉克斯坦,https://www.fluentpython.com/data/flags/tj/tj.gif,亚洲,Tajikistan,0,0,0,1,1,3,6,8,8,8,9,13,17,18,19,21,21,23,25,25,26,30,31,32,32,33,36,38,40,40,43,46,49,49,53,55,57,64,68,74,76,78,83,84,85,86,87,87,89,91,95,96,101,104,105,109,111,119,127,137,143,148,155,163,170,177,202,207,305,394,494,561,643,712,775,833,895,937,975,1013,1052,1081,1116,1164,1203,1241,1273,1307,1307,1307,1307
CF,中非,中非,https://www.fluentpython.com/data/flags/cf/cf.gif,非洲,Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,11,11,11,16,16,22,22,28,33,38,38,38,44,44,44,50,50,66,72,77,77,77,77,83,83,83,83,88,93,109,109,109,109,114,169,242,314,371,451,550,650,729,797,830,893,952,989,1027,1058,1088,1139,1161,1213,1268,1268,1268,1268
TM,土库曼斯坦,土库曼斯坦,https://www.fluentpython.com/data/flags/tm/tm.gif,亚洲,Turkmenistan,0,0,4,6,10,17,22,22,22,23,26,27,30,30,30,33,37,39,43,48,52,56,56,59,60,61,63,65,70,71,73,77,80,81,83,86,90,92,92,96,100,106,107,108,111,114,115,115,116,122,124,129,130,133,138,143,147,153,159,163,171,177,183,189,189,200,222,233,298,387,487,559,642,717,774,833,883,935,965,1003,1031,1054,1080,1127,1158,1181,1212,1241,1241,1241,1241
TD,乍得,乍得,https://www.fluentpython.com/data/flags/td/td.gif,非洲,Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,9,9,19,19,19,19,19,19,19,19,19,19,19,24,29,29,29,34,34,39,39,39,39,39,39,43,43,43,48,53,53,58,73,78,82,87,87,92,96,101,106,111,111,196,296,368,438,523,596,668,707,745,812,854,901,931,972,1021,1081,1138,1164,1189,1234,1234,1234,1234
UZ,乌兹别克斯坦,乌兹别克斯坦,https://www.fluentpython.com/data/flags/uz/uz.gif,亚洲,Uzbekistan,0,0,2,4,6,8,10,13,18,20,22,24,26,30,33,34,38,40,42,43,45,47,48,50,51,53,56,59,61,63,66,69,72,74,78,81,83,88,93,97,101,105,109,112,115,118,122,125,129,134,136,138,141,143,147,149,155,174,190,204,215,222,230,240,248,257,273,282,382,469,555,631,705,761,808,851,887,924,957,987,1014,1038,1059,1082,1105,1126,1151,1171,1171,1171,1171
IL,以色列,以色列,https://www.fluentpython.com/data/flags/il/il.gif,亚洲,Israel,0,0,2,5,7,9,12,14,16,19,21,23,25,27,29,31,33,35,37,39,42,44,45,48,50,52,53,55,59,61,64,67,70,74,78,82,86,92,98,104,109,114,119,123,127,129,132,135,139,143,147,150,153,155,158,166,185,202,218,231,239,247,259,272,282,294,311,325,425,513,590,645,691,732,769,804,839,872,897,920,942,962,981,1004,1026,1044,1062,1080,1164,1164,1164
YE,也门,也门,https://www.fluentpython.com/data/flags/ye/ye.gif,亚洲,Yemen,0,0,1,2,3,3,4,5,6,6,7,8,9,9,11,12,13,13,13,13,14,14,15,15,16,17,18,18,18,19,19,19,20,21,21,21,21,24,25,26,28,31,33,35,36,37,37,38,40,40,41,43,45,46,47,49,61,77,93,108,119,128,139,149,162,173,186,194,290,390,481,556,628,695,755,798,849,890,927,955,979,1003,1027,1051,1075,1093,1110,1128,1128,1128,1128
GW,几内亚比绍,几内亚比绍,https://www.fluentpython.com/data/flags/gw/gw.gif,非洲,Guinea-Bissau,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,12,12,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,20,20,25,25,25,29,41,45,49,49,58,62,62,77,133,233,270,330,401,484,535,604,677,734,798,827,853,886,925,956,994,1023,1046,1099,1099,1099,1099
CG,Congo - Brazzaville,其他,https://www.fluentpython.com/data/flags/cg/cg.gif,非洲,Congo - Brazzaville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,4,4,4,4,4,4,4,6,8,10,13,15,18,18,18,18,20,24,26,30,32,32,36,36,36,39,39,39,41,41,46,46,46,49,51,51,55,59,59,67,73,77,87,99,105,197,297,367,444,523,571,636,687,751,788,823,874,909,940,966,987,1007,1030,1052,1083,1083,1083,1083
LA,老挝,其他,https://www.fluentpython.com/data/flags/la/la.gif,亚洲,Laos,0,0,4,6,8,12,18,18,24,26,30,34,38,40,40,40,48,48,48,54,56,58,60,60,64,68,68,70,80,82,85,85,85,89,95,99,106,106,108,112,122,126,131,143,145,147,152,154,161,166,168,175,175,179,179,183,190,197,203,214,218,233,237,241,250,258,273,290,390,449,523,580,659,698,733,771,807,828,844,882,903,932,965,984,1006,1017,1041,1071,1071,1071,1071
DE,德国,其他,https://www.fluentpython.com/data/flags/de/de.gif,欧洲,Germany,0,0,0,1,2,3,4,5,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,8,9,10,11,12,13,14,15,16,17,18,20,22,24,26,27,28,29,30,31,32,33,34,35,37,39,40,41,42,45,52,59,65,70,73,76,80,86,93,104,125,138,238,313,381,454,518,575,630,678,725,764,802,835,864,893,919,944,969,994,1016,1038,1060,1060,1060
CI,科特迪瓦,其他,https://www.fluentpython.com/data/flags/ci/ci.gif,非洲,Côte d’Ivoire,0,0,1,1,1,1,3,3,3,4,4,6,6,7,7,8,10,10,10,11,12,13,13,14,15,16,17,18,19,19,19,19,19,20,21,23,24,26,28,31,32,33,34,34,35,36,37,39,41,43,45,46,48,49,50,51,55,59,63,66,68,69,71,76,80,86,95,103,198,298,375,447,517,575,636,688,734,776,810,848,879,903,926,948,969,997,1018,1035,1035,1035,1035
