year,d1,d90
1993,55.491329479768794,1
1994,122.5103244837758,13
1995,269201.88679245283,25
1996,673004.716981132,1.3654485049833887
1997,1076807.5471698113,1
1998,1480610.3773584906,1
1999,1884413.2075471699,1
2000,2288216.037735849,1
2001,2824984.555555556,2.0642570281124497
2002,5246399.888888889,1.6051502145922747
2003,7667815.222222223,1.8294930875576036
2004,10089230.555555556,1.4952830188679245
2005,12510645.88888889,4.605128205128205
2006,14932061.222222224,2.798882681564246
2007,18217774.554545455,1.6287425149700598
2008,22266168.9,3.2574850299401197
2009,26314563.245454542,1.436241610738255
2010,30362957.59090909,1
2011,34411351.93636364,5
2012,38459746.28181818,1.293103448275862
2013,42508140.627272725,1
2014,46556534.97272727,10
2015,50604929.31818181,13.81081081081081
2016,54653323.663636364,10.076923076923077
2017,58701718.00909091,7.821428571428571
2018,62750112.35454545,5.209302325581396
2019,66798506.699999996,1
2020,70846901.04545455,1
2021,80519580,1
