label,,大洲：,别名,label,artist_names,params,img,周播放冠军次数：,上榜周数,,2018-05-03,2018-05-10,2018-05-17,2018-05-24,2018-05-31,2018-06-07,2018-06-14,2018-06-21,2018-06-28,2018-07-05,2018-07-12,2018-07-19,2018-07-26,2018-08-02,2018-08-09,2018-08-16,2018-08-23,2018-08-30,2018-09-06,2018-09-13,2018-09-20,2018-09-27,2018-10-04,2018-10-11,2018-10-18,2018-10-25,2018-11-01,2018-11-08,2018-11-15,2018-11-22,2018-11-29,2018-12-06,2018-12-13,2018-12-20,2018-12-27,2019-01-03,2019-01-10,2019-01-17,2019-01-24,2019-01-31,2019-02-07,2019-02-14,2019-02-21,2019-02-28,2019-03-07,2019-03-14,2019-03-21,2019-03-28,2019-04-04,2019-04-11,2019-04-18,2019-04-25,2019-05-02,2019-05-09,2019-05-16,2019-05-23,2019-05-30,2019-06-06,2019-06-13,2019-06-20,2019-06-27,2019-07-04,2019-07-11,2019-07-18,2019-07-25,2019-08-01,2019-08-08,2019-08-15,2019-08-22,2019-08-29,2019-09-05,2019-09-12,2019-09-19,2019-09-26,2019-10-03,2019-10-10,2019-10-17,2019-10-24,2019-10-31,2019-11-07,2019-11-14,2019-11-21,2019-11-28,2019-12-05,2019-12-12,2019-12-19,2019-12-26,2020-01-02,2020-01-09,2020-01-16,2020-01-23,2020-01-30,2020-02-06,2020-02-13,2020-02-20,2020-02-27,2020-03-05,2020-03-12,2020-03-19,2020-03-26,2020-04-02,2020-04-09,2020-04-16,2020-04-23,2020-04-30,2020-05-07,2020-05-14,2020-05-21,2020-05-28,2020-06-04,2020-06-11,2020-06-18,2020-06-25,2020-07-02,2020-07-09,2020-07-16,2020-07-23,2020-07-30,2020-08-06,2020-08-13,2020-08-20,2020-08-27,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-01,2020-10-08,2020-10-15,2020-10-22,2020-10-29,2020-11-05,2020-11-12,2020-11-19,2020-11-26,2020-12-03,2020-12-10,2020-12-17,2020-12-24,2020-12-31,2021-01-07,2021-01-14,2021-01-21,2021-01-28,2021-02-04,2021-02-11,2021-02-18,2021-02-25,2021-03-04,2021-03-11,2021-03-18,2021-03-25,2021-04-01,2021-04-08,2021-04-15,2021-04-22,2021-04-29,2021-05-06,2021-05-13,2021-05-20,2021-05-27,2021-06-03,2021-06-10,2021-06-17,2021-06-24,2021-07-01,2021-07-08,2021-07-15,2021-07-22,2021-07-29,2021-08-05,2021-08-12,2021-08-19,2021-08-26,2021-09-02,2021-09-09,2021-09-16,2021-09-23,2021-09-30,2021-10-07,2021-10-14,2021-10-21,2021-10-28,2021-11-04,2021-11-11,2021-11-18,2021-11-25,2021-12-02,2021-12-09,2021-12-16,2021-12-23,2021-12-30,2022-01-06,2022-01-13,2022-01-20,2022-01-27,2022-02-03,2022-02-10,2022-02-17,2022-02-24,2022-03-03,2022-03-10,2022-03-17,2022-03-24,2022-03-31,2022-04-07
A神(edm),edm,欧洲,A神,/m/0bs3d41,Avicii,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/fqzhtvLWefA/default.jpg,0,123,120+,2529363,4238207,5872805,7134969,8253476,9258029,10165263,11005496,11892061,12782831,13610155,14638862,15713442,16719911,17651105,18486891,19255756,20038148,20951940,21846943,22760953,23677774,24546710,25378977,26175661,26961808,27746701,28614800,29488646,30387858,31348015,32385737,33277645,34121071,34985216,35773454,36609615,37622482,38572388,39505437,40532582,41581696,42615818,43627948,44630944,45587414,46555800,47505555,48458457,49688711,51489428,53208860,54721159,56109563,57609106,59177638,60493990,61735157,63871111,65587549,67213519,68958345,70393234,71761425,73073060,74334914,75521040,76706493,77837865,79038253,80194374,81423025,82610693,83735439,84829427,85912725,86947215,87984873,88981230,90027307,91057589,92113096,93168356,94185490,95329711,96640407,97821135,98879063,99875832,100956727,102051042,103253081,104459195,105703197,106887089,108066356,109275767,110421211,111491269,112523404,113546967,114648005,115843898,117231629,118593879,119895596,121169315,122438420,123642921,124798616,125898203,126931577,127961159,129012564,130073571,131150379,132213914,133238331,134256174,135295313,136266399,136266399,137262318,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285,138312285
黄老板(pop),pop,欧洲,黄老板,/m/0g9sr1k,Ed Sheeran,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/Il0S8BoucSA/default.jpg,0,203,200+,2152465,3970596,5747627,7358525,9057482,10738977,12097559,13582077,15094028,16716028,18262372,19736385,21141748,22466973,23726880,24943013,26235150,27639768,29052191,30438112,31776466,33097891,34411759,35780466,37163206,38507107,39814369,41109353,42414063,43808175,45210145,46645998,48000572,49303569,50737361,52069548,53467770,55072468,56507083,58051411,59746358,61432390,63133303,64773935,66390447,67914543,69462793,71034123,72659276,74581382,76529224,78450887,80298156,81960489,84702272,87577320,89993804,92162616,94254449,96269864,98462994,100801811,103149254,106028386,108414448,110530999,112524012,114668444,116589946,118640192,120671963,122597832,124432705,126271095,128108545,130147745,132024478,133950336,135797996,137741649,139683287,141554740,143395555,145194315,147068272,148887391,150707083,152439960,154031027,155762187,157583660,159399954,161294911,163457162,165428297,167374421,169377161,171381751,173239814,175064323,176890447,178782072,180912463,183176840,185347594,187464167,189418414,191375331,193320884,195105626,196931456,198545349,200124541,201657707,203203460,204776322,206293188,207689502,209152231,210652365,212124583,213503642,214926065,216436012,217936652,219471933,220941302,222741577,224666967,226252763,227659519,228981751,230299178,231667006,232994606,234092514,235336218,236418432,237625590,239110944,240219681,241409276,242675123,243973791,245263334,246621162,247879841,249120867,250269766,251396266,252502334,253657709,254788037,255942121,257091795,258434829,259840731,261229636,262393674,263604523,264817733,266043712,266043712,266043712,266043712,268222057,269836719,271415328,272963803,274348025,275709053,277101980,278516886,280684617,282470460,284261198,286709962,288843768,290769440,292727810,294538035,296268585,297965853,300348128,302411763,304296626,306142456,308026102,310241170,312386473,314342184,316325280,317868332,319442012,321094259,322796804,324518491,326267308,328216582,330175336,332007174,333883183,335742033,337643032,339632459,341496300
エーケービー フォーティエイト(48g),48g,亚洲,エーケービー フォーティエイト,/m/0k_jr_,AKB48,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/e9N_Au80T8w/default.jpg,0,206,200+,2101222,4100303,6397384,9040228,11441999,14364060,16721418,19677228,22945043,25888690,28690498,31477240,33875734,36095482,38122801,40141873,42030958,44703307,46641428,48610347,50927230,52828747,55161105,57391263,59447573,61532845,65793027,68250894,70623449,73248332,75822505,78632424,81323590,83749032,86516135,89261804,91707516,94398822,97113033,99631547,102198374,104983601,108235607,112113150,115720499,118436031,121380365,124071619,126597685,128891452,131250963,133574586,136138697,138303268,140540495,142786398,144990664,147198839,149240388,151304910,153381968,155370286,157222681,159144523,161029546,163109220,165026946,167148466,169204394,171872782,174080654,176335080,178586542,180803929,182990876,185187610,187245097,189300618,191214574,193208760,195068545,196974716,199041294,200886833,202724090,204654988,206924379,209200479,211424939,214011148,216640418,219018210,221261047,223699187,226234189,228859481,231466633,234266085,236916820,239695465,242211549,244732391,247746643,250442037,253005476,255541592,257985711,260599909,263059195,266004217,268758752,271431071,274677723,277255192,279857168,282394330,284661461,286858814,289225496,292024208,294764980,297286437,299875241,302438730,304737300,306878696,308790592,310816200,312933888,314797664,316558485,318337398,319938537,321607616,323424959,325022070,326721222,328379081,329950686,331569424,332898947,334500004,336213322,338010555,339859221,341829832,343764363,345728777,347624835,349468229,351250193,353072134,354905373,356642585,358342170,360078079,361812647,363592287,365156429,366768217,368773046,371041227,373513714,375894637,377889279,379776230,381575095,383281379,385101086,386756946,388501401,390260393,391906618,393480723,395630157,397608820,399867848,402139889,404178623,407027353,410121770,412862680,415150774,417479297,419714819,422010774,424079444,426076620,429492468,435445542,438927396,441934107,444687397,447271669,449620783,451943237,454334642,456867978,459387808,461895077,464316175,466749563,469196559,471592652,473939325,476124776
AAA(r&b),r&b,亚洲,AAA,/m/01rjf0r,AAA,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/1Xc9VpB4jaE/default.jpg,0,206,200+,2042611,4008844,6114199,8247477,10236568,12321244,14438763,16473731,18433510,20423902,22365588,24560939,26835548,30792875,33438247,35717873,39049820,42387727,45150664,47650206,50048537,52318618,54564253,56752722,58816974,61002334,63150218,65355596,67696847,70045602,72499060,75310020,77702233,80778334,83649478,85925174,88005187,90276390,92660742,94910443,97191713,99443049,101767946,103916026,106060373,107966749,109798499,111748652,113540859,115256841,116950212,119703946,122082919,123913569,125651708,127403887,128939491,130384843,131792012,133292973,134812164,136353200,137786841,139118213,140431244,141829532,143348722,144836085,146299619,147777079,149603714,151260680,154153245,156345106,158317964,160078570,161890207,163566551,165113819,166738114,168304123,170032107,171706637,173289158,175033638,176724618,178420475,179932889,181331117,183058131,184923673,186613216,188505108,190343728,192142708,193856306,195818709,197858819,200254155,202119317,203971476,205824966,207759573,209596851,211327985,213144553,214893511,216777485,218546973,220308267,222077585,223812097,225488154,227048785,228644198,230248769,231774035,233392227,234929150,236461452,238124967,239800877,241424876,243158973,244922481,246729296,248757374,250750905,252730687,254654582,256064180,257594987,259098510,260706433,262295863,263794875,265239811,266648327,268098951,269612654,270840578,272212350,273676187,275211288,276797572,278454411,280086502,281676006,283185205,284858858,286496626,288124900,289630348,291136966,292597670,294083057,295639637,297274920,298948674,300771202,302579581,304472916,306361288,308310505,310135932,311966394,313868884,315639664,317395139,319029442,320921788,322768914,324779567,326663293,328540959,330333635,332087214,333845007,335503645,337131329,338739562,340363968,341990389,343647541,345300401,346965102,348978868,351132585,353219313,355696446,358065294,360282269,361861714,363535173,365226496,366990397,368828351,370595865,372272844,373943204,376038188,377804577,379579392,381368695,383099689,384725187
霉霉(pop),pop,北美,霉霉,/m/0dl567,Taylor Swift,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/K-a8s8OLBSE/default.jpg,0,161,160+,1436222,2713237,4126413,5506768,6834672,8153784,9369764,10640752,11962991,13273066,14492349,15640993,16808087,17959487,19073178,20133741,21211777,22343359,23513886,24723548,25927789,27116681,28319653,29754499,31249132,32592759,33849332,35241416,36575359,38358412,40133122,41708661,43129400,44496138,45891526,47116304,48244492,49566282,50840932,52065960,53326801,54576320,55768246,56931852,58103870,59217779,60446658,61623706,62726629,63812109,64936886,66143728,68826553,70374066,71832484,73229054,74502402,75821473,77056134,79345503,81076326,82650897,84064964,85456005,86837765,88256652,89533451,90810825,92088972,94913364,96967274,98937454,100671012,102378848,104017236,105570213,106983126,108384403,109700007,111177886,112754982,114316520,115872016,117365284,118865806,120216388,121550243,122799227,123914124,125148926,126409863,127698464,129134211,130689906,132193715,133675479,135354727,136823529,138211526,139505999,140743054,142100719,143652246,145250696,146890318,148564057,150113600,151716342,153356418,154842224,156218218,157573385,158958239,160315875,161667878,162969552,164250065,166466358,168142224,169624574,170991097,172266927,173510314,174785998,176053323,177426441,178631659,179817952,180980332,182105076,183195282,184294138,185380148,186487403,187583622,188642766,188642766,190268188,191455225,192594185,193552525,194658285,195768872,196930446,198094954,199325908,200657939,201875308,202981020,204055008,205168161,206300998,207380556,208436507,209744649,210956854,212157358,213365433,213365433,214487948,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,215578315,217449474,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064,218803064
A妹(pop),pop,北美,A妹,/m/09gkdy4,Ariana Grande,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/B6_iQvaIjXw/default.jpg,0,206,200+,1436027,2699151,4141905,5458147,6813428,8071611,9257541,10454989,11785459,13069716,14409429,15967248,17402105,18735453,19936068,21083113,22280044,23573920,24833110,26137855,27267074,28456502,29489707,30482109,31527514,32502444,33508799,34908039,36625014,38266364,39967534,42993826,44912373,46847297,48683085,50032737,51264823,52586778,54813052,56712748,58712623,60694051,62946301,65099183,67070567,68764035,70500701,72138389,73777649,75329799,76859145,78523937,80125572,81675736,83284923,84923123,86405918,87971744,89583786,91201460,92734569,94230359,95657536,97130152,98552459,100018051,101963203,103569808,104996888,106461145,107897477,109330708,111373620,113066467,114562838,115991749,117335892,118714309,120000953,121490872,123019888,124503510,125944130,127390753,128804420,130251032,132035097,133883756,135239000,136615360,137963800,139429907,140927528,142393916,143749659,145104014,146466139,147805373,149108167,150352647,151556033,152878585,154339845,155926841,157613822,159331109,161699524,163545843,166922167,169321809,171407661,173311572,175104263,176921904,178592633,180224356,181805095,185119781,188336745,191071566,194116370,196786295,199486659,201585434,203598670,205603167,207079269,208566763,210042324,211657189,213995864,216416758,218564983,221791987,224399324,226650254,228960382,231450626,234236240,236526707,238090059,239759157,241702118,243415552,245184301,246980714,249022785,251191187,253020630,254744899,256567728,258266903,259802963,261336506,262814331,264325719,266172647,267980568,269551330,271087683,272578398,274108909,275567356,277052820,278891045,280613649,282115200,283625755,285364636,286865459,288511583,290172323,291594818,292993702,294403738,295873188,297339581,298903137,300463382,301913241,303318477,304762796,306143394,307583977,309084673,310570419,312031244,313480676,315105526,316812044,318536245,320451512,321660838,323022425,324331745,325747898,327195885,328673166,330081091,331521703,332970689,334457944,335968500,337470189,339010435,340567015
电音香水(pop),pop,未知,电音香水,/m/01sjnv2,Perfume,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/Cxsx3AMtz40/default.jpg,0,124,120+,1362522,2553148,3740554,4919523,5999848,7128519,8240781,9275849,10261638,11258593,12210359,13171116,14105599,15334271,16403486,17487921,18922627,20284418,21528793,22663748,23738938,25365161,26737563,27981415,29285164,30601752,31718741,32855850,33902260,34953136,36012819,37130107,38223258,39287924,40420985,41508937,42548663,43606759,44780217,45950019,47158563,48401755,49555738,50622035,51708599,52750706,53860405,54884354,55978439,57049523,58127803,59252350,60389213,61333537,62301537,63222540,64136854,65062807,65967650,66859826,67761954,68696655,69874230,70855020,71749117,72701061,73703331,74725790,75661229,76665506,77593207,78583375,80099771,81992676,83458627,84819882,86000992,87089263,88063042,89044835,90138780,91120494,92097297,93392162,94590145,96792080,98454101,100016532,101329854,102639063,103875204,105175460,106589859,107989246,109302215,110477495,111647800,112754418,113837966,115026785,116319743,117411934,118841219,120207713,121456367,122593039,123644820,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,124736933,126163202,128105056,129626722,130859207,132025559,133072959,134035599,134035599,134035599,134035599,134035599,134035599,134035599,134035599,135015287,136052673,137000164,138017287,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,139020039,140186053,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,141640325,143117617,144988583,144988583,144988583,144988583
火星哥(pop),pop,北美,火星哥,/m/0bs1g5r,Bruno Mars,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/GG7fLOmlhYg/default.jpg,0,131,130+,1338265,2501280,3661634,4757707,5774064,6836755,7796154,8719871,9639412,10555458,11449120,12328862,13228790,14074321,14870552,15637652,16354359,17089453,17963103,18871524,19800754,20687480,21561137,22435070,23264362,24100381,24981230,25908114,26753086,27676948,28634175,29584818,30505208,31438142,32346369,33170233,33960908,34891109,35775634,36656988,37631969,38666258,40003561,41295762,42750373,44063499,45328419,46569584,47792571,48917678,50036023,51198293,52340143,53082366,53783480,54617876,55419330,56222917,56983809,58042627,59094293,60101832,61090968,62147603,63101508,64075496,65070053,66129381,67083183,68032648,69008599,70000128,70957938,71925002,72885228,73848974,74800853,75781550,76674897,77615677,78589513,79546749,80519027,81506420,82446649,83378788,84268043,85154963,85939155,86796086,87676436,88635930,89592510,90568791,90568791,90568791,91530327,91530327,91530327,91530327,91530327,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,92462143,93621025,93621025,94750267,94750267,94750267,95780353,96816767,97878832,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,98950264,100686450,102067829,103461412,104780178,106329109,107821776,109289790,110790932,112332199,113592175,114849110,116078439,117498045,118754405,118754405,118754405,120045024,121251448,122354587,122354587,122354587,124035428,125327049,125327049,125327049,125327049,125327049,125327049,125327049,125327049,125327049,125327049,125327049,125327049,125327049,126801640,128445630,129956653,131341554,132634656,133870376,133870376,133870376,133870376,133870376,133870376,133870376,133870376,133870376,135229757,136632531,138014406,138014406,138014406,138014406,138014406,139620060
SEIKIN(pop),pop,未知,SEIKIN,/g/11hdc2pktz,SEIKIN,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/WJzSBLCaKc8/default.jpg,0,46,40+,1062315,1951109,2769241,3660142,4482109,5288698,6068008,6544982,6544982,6544982,6544982,6544982,6544982,7080377,7647245,8188445,8716004,9229058,9229058,9229058,9229058,9229058,9229058,9229058,9229058,9229058,9229058,9229058,10118298,10118298,10118298,10118298,10118298,10118298,10761956,11404755,11404755,11404755,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12008795,12933774,13792423,14535105,14535105,14535105,14535105,15422951,16384108,17492228,18443429,19380995,20318893,21178664,21178664,22095887,22095887,23058796,24070999,25115812,26140743,27244716,28422159,29633182,31095978,32414232,33618323,34857846,36156329,38374478,39830564,41089881,42116849,42116849,42116849,42116849,42116849,42116849,42116849,42116849,42116849,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,43128876,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544,44358544
烟民二人组(edm),edm,北美,烟民二人组,/m/0ndjfmd,The Chainsmokers,chart_params_type=WEEK&perspective=CHART&flags=viral_video_chart&selected_chart=TRACKS&chart_params_id=weekly:20180427:20180503:jp,https://i.ytimg.com/vi/0zGcUoRlhmw/default.jpg,0,113,110+,996773,1865576,2722802,3325154,4197320,5144529,6089518,6874351,7661832,8517067,9383506,10238704,11087946,12106257,13041191,13872019,14634095,15505513,16427328,17287072,18099923,19164984,20211185,21229542,22202817,23117810,23995988,24948424,26003844,27182667,28423155,29655164,30719636,31898016,33072464,34095532,35059873,36346346,37432754,38417831,39469757,40754309,41892721,42998784,44073084,45102330,46150735,47216534,48311727,49447453,50661018,51721876,52891325,53900396,54935424,56002629,57000459,58218918,59332621,60377410,61315565,62261736,63194109,64154749,65112096,66278668,67343056,68399573,69561448,70615660,71610171,72600105,73576772,74541259,75538002,76480829,77446724,78385596,79310609,80257368,81300275,82218317,83074613,83919014,85030444,86051848,87026875,87928823,88722020,89558367,90412519,91275929,92192201,93587875,94854826,96071970,97313266,99312447,101000997,102443056,103751133,105054681,106387301,107654095,109082098,110534325,111876896,113173912,114396238,115499154,116672255,117782912,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000,118920000
