alpha_2,region,,flag,大洲:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
DZ,阿尔及利亚,阿尔及利亚,https://www.fluentpython.com/data/flags/dz/dz.gif,非洲,Algeria,0,0,10,38,65,90,105,128,148,173,188,199,239,270,295,346,370,389,424,463,485,524,549,590,635,663,707,739,769,814,845,884,961,1004,1051,1117,1170,1233,1301,1361,1426,1493,1580,1640,1713,1771,1860,1939,2014,2090,2171,2235,2293,2371,2457,2555,2652,2732,2829,2901,2984,3065,3137,3208,3283,3347,3420,3497,3582,3663,3743,3819,3864,3913,3948,3986,4048,4126,4203,4272,4356,4447,4530,4610,4708,4790,4860,4935,5016,5106,5202,5282,5354,5454,5529,5605,5683,5762,5830,5900,5976,6063,6137,6214,6300,6394,6475,6550,6618,6686,6749,6808,6878,6948,7012,7074,7148,7220,7278,7340,7408,7473,7546,7604,7666,7730,7796,7855,7921,7983,8031,8086,8137,8191,8242,8283,8330,8378,8433,8487,8538,8590,8634,8676,8715,8756,8790,8823,8857,8902,8941,8986,9039,9078,9110,9140,9169,9201,9225,9247,9274,9308,9348,9394,9423,9461,9488,9514,9533,9557,9578,9599,9627,9663,9693,9736,9794,9824,9848,9870,9889,9908,9935,9951,9973,9991,10010,10028,10046,10065,10081,10096,10111,10130,10144,10159,10176,10191,10205,10219,10236,10253,10268,10284,10298,10313,10326,10340,10358,10371,10386,10406,10425,10459,10487,10504,10519,10535,10551,10570,10593
SA,沙特阿拉伯,沙特阿拉伯,https://www.fluentpython.com/data/flags/sa/sa.gif,亚洲,Saudi Arabia,0,0,16,68,106,124,156,192,226,255,277,311,323,344,365,401,416,428,458,492,546,572,610,642,660,683,707,722,748,774,794,832,880,937,973,1027,1067,1123,1176,1225,1280,1339,1414,1469,1533,1611,1677,1758,1821,1885,1963,2042,2103,2192,2291,2384,2473,2551,2636,2685,2743,2809,2875,2933,3000,3065,3132,3228,3320,3388,3453,3525,3589,3646,3696,3742,3787,3837,3884,3952,4020,4057,4101,4136,4178,4208,4248,4285,4318,4369,4411,4449,4490,4538,4575,4607,4646,4683,4721,4758,4798,4847,4887,4940,4978,5024,5075,5123,5169,5212,5258,5307,5358,5406,5453,5504,5553,5609,5653,5704,5765,5811,5877,5925,5983,6046,6120,6212,6293,6351,6401,6459,6511,6564,6634,6684,6735,6785,6849,6903,6954,6999,7046,7090,7143,7185,7228,7267,7309,7365,7417,7476,7545,7589,7630,7660,7699,7743,7780,7809,7840,7887,7932,7992,8025,8080,8115,8147,8177,8216,8249,8284,8325,8379,8426,8516,8616,8656,8695,8732,8764,8793,8832,8861,8906,8944,8978,9011,9040,9066,9092,9117,9145,9183,9214,9246,9282,9313,9340,9374,9405,9438,9465,9497,9526,9560,9594,9628,9659,9689,9727,9791,9846,9921,9982,10033,10085,10138,10188,10246,10298
SN,塞内加尔,塞内加尔,https://www.fluentpython.com/data/flags/sn/sn.gif,非洲,Senegal,0,0,40,53,67,87,121,138,182,218,228,239,272,308,355,423,456,467,495,535,589,615,653,723,763,805,855,886,933,983,1023,1051,1093,1146,1188,1223,1258,1295,1346,1378,1397,1455,1491,1527,1565,1599,1648,1679,1711,1756,1793,1837,1872,1920,1973,2022,2055,2079,2114,2154,2196,2238,2273,2313,2348,2372,2430,2474,2529,2574,2612,2657,2696,2736,2775,2808,2831,2851,2892,2929,2959,2982,3013,3044,3085,3121,3154,3181,3206,3238,3270,3302,3326,3357,3386,3426,3456,3496,3527,3561,3599,3643,3681,3721,3755,3790,3836,3883,3924,3966,3999,4038,4080,4119,4153,4201,4245,4287,4331,4381,4450,4509,4590,4652,4722,4808,4886,4963,5035,5092,5157,5233,5312,5395,5482,5540,5598,5673,5755,5822,5894,5961,6024,6107,6182,6239,6300,6363,6428,6516,6595,6680,6775,6835,6903,6963,7025,7086,7125,7161,7200,7263,7335,7432,7485,7544,7590,7634,7675,7730,7763,7802,7852,7903,7951,8009,8109,8163,8213,8260,8293,8334,8365,8396,8437,8476,8509,8539,8562,8591,8620,8650,8678,8707,8728,8760,8789,8813,8833,8855,8881,8907,8927,8953,8972,8994,9010,9030,9049,9064,9081,9108,9129,9168,9197,9220,9238,9255,9270,9289,9309
HN,洪都拉斯,洪都拉斯,https://www.fluentpython.com/data/flags/hn/hn.gif,北美,Honduras,0,0,0,32,51,85,97,125,138,171,203,225,249,263,284,293,340,387,415,444,457,476,495,517,530,580,609,631,649,702,736,779,877,929,967,1050,1074,1112,1148,1182,1241,1286,1334,1385,1418,1439,1473,1490,1520,1542,1579,1635,1660,1702,1780,1858,1947,1990,2024,2050,2091,2153,2207,2244,2278,2316,2392,2485,2577,2632,2684,2738,2792,2836,2894,2968,3021,3104,3201,3301,3397,3460,3500,3563,3636,3713,3767,3824,3882,3952,4027,4086,4132,4180,4226,4281,4345,4408,4480,4530,4592,4668,4725,4785,4833,4886,4957,5013,5064,5118,5178,5231,5288,5345,5399,5444,5489,5536,5582,5631,5693,5744,5814,5857,5900,5964,6031,6107,6153,6205,6251,6304,6353,6413,6489,6540,6586,6636,6691,6737,6781,6822,6866,6912,6956,7003,7045,7086,7123,7165,7203,7253,7304,7337,7367,7396,7431,7472,7496,7515,7535,7567,7600,7647,7679,7710,7738,7761,7781,7807,7828,7849,7879,7926,7957,8013,8095,8121,8148,8173,8194,8217,8236,8259,8295,8321,8340,8357,8373,8389,8404,8423,8439,8464,8484,8504,8523,8538,8550,8567,8586,8608,8622,8644,8661,8686,8706,8725,8746,8759,8776,8809,8831,8874,8908,8938,8961,8983,9010,9038,9063
EG,埃及,埃及,https://www.fluentpython.com/data/flags/eg/eg.gif,非洲,Egypt,0,0,0,15,41,62,79,103,113,143,162,176,192,201,212,229,240,259,280,298,316,335,348,366,375,389,395,403,415,424,439,459,476,497,507,522,535,554,571,594,615,646,672,713,741,779,813,844,877,910,942,969,999,1048,1105,1170,1231,1288,1350,1401,1445,1501,1551,1602,1660,1714,1776,1841,1911,1980,2056,2123,2183,2245,2296,2345,2401,2464,2533,2614,2680,2740,2790,2838,2891,2936,2978,3017,3054,3102,3150,3200,3246,3300,3341,3383,3434,3482,3528,3573,3618,3667,3711,3760,3805,3853,3899,3943,3980,4020,4059,4099,4146,4194,4238,4282,4322,4362,4399,4435,4479,4520,4571,4612,4653,4703,4761,4819,4870,4920,4966,5014,5057,5099,5155,5194,5238,5288,5345,5401,5451,5500,5553,5598,5652,5696,5741,5786,5833,5903,5965,6029,6107,6166,6222,6270,6322,6383,6433,6476,6524,6586,6669,6748,6802,6881,6937,6985,7025,7071,7113,7152,7210,7280,7344,7412,7512,7569,7628,7677,7722,7763,7803,7837,7880,7918,7960,7999,8031,8063,8095,8124,8154,8188,8215,8242,8272,8296,8316,8340,8368,8398,8423,8453,8476,8506,8531,8558,8586,8609,8635,8675,8708,8761,8811,8851,8884,8911,8935,8963,8992
GH,加纳,加纳,https://www.fluentpython.com/data/flags/gh/gh.gif,非洲,Ghana,0,0,0,0,0,34,93,93,157,157,236,236,236,262,262,300,300,318,367,413,472,472,485,485,485,509,519,529,529,556,564,595,611,665,685,697,725,744,760,807,821,851,895,908,943,964,978,990,1009,1043,1059,1068,1104,1148,1202,1272,1315,1355,1386,1415,1433,1465,1515,1537,1561,1587,1640,1675,1720,1762,1791,1811,1838,1853,1869,1891,1913,1933,1960,1992,2014,2038,2061,2095,2134,2167,2199,2231,2267,2318,2357,2393,2429,2462,2502,2537,2576,2619,2658,2692,2748,2821,2871,2923,2963,3002,3070,3121,3176,3223,3273,3319,3372,3429,3483,3537,3578,3628,3673,3718,3777,3839,3902,3948,4002,4060,4129,4202,4250,4300,4358,4426,4505,4581,4655,4709,4769,4848,4930,4985,5037,5091,5150,5203,5254,5304,5357,5403,5449,5528,5587,5647,5726,5777,5824,5870,5922,5972,6017,6050,6089,6148,6227,6322,6373,6428,6477,6526,6565,6615,6653,6702,6762,6840,6897,6969,7069,7122,7181,7234,7272,7317,7358,7400,7468,7519,7572,7615,7647,7682,7723,7768,7813,7865,7909,7959,8009,8044,8074,8111,8152,8190,8225,8264,8295,8329,8358,8389,8419,8444,8475,8518,8556,8637,8707,8748,8787,8826,8856,8894,8934
SD,苏丹,苏丹,https://www.fluentpython.com/data/flags/sd/sd.gif,非洲,Sudan,0,0,0,0,0,0,0,40,40,40,104,141,185,185,247,275,275,301,301,322,322,322,365,365,365,384,406,422,436,450,450,450,487,487,520,556,565,574,607,647,669,676,698,750,785,832,873,931,952,992,1032,1065,1098,1181,1257,1326,1380,1412,1483,1535,1573,1620,1676,1720,1764,1813,1883,1942,1986,2036,2101,2142,2208,2270,2337,2372,2402,2453,2492,2535,2583,2620,2662,2688,2762,2797,2835,2871,2915,2965,3031,3075,3114,3155,3187,3212,3254,3289,3325,3359,3390,3448,3495,3542,3587,3638,3692,3745,3787,3822,3862,3905,3961,4015,4059,4103,4143,4188,4226,4267,4316,4359,4418,4457,4508,4564,4627,4688,4745,4791,4828,4885,4935,4983,5046,5086,5137,5193,5257,5320,5379,5423,5470,5517,5562,5611,5652,5689,5734,5817,5886,5960,6034,6080,6138,6180,6225,6286,6334,6370,6414,6488,6569,6669,6713,6774,6823,6869,6911,6954,6994,7042,7095,7172,7247,7323,7422,7481,7534,7585,7634,7677,7723,7756,7811,7847,7893,7920,7947,7978,8007,8040,8075,8113,8139,8167,8202,8237,8270,8297,8329,8363,8391,8421,8449,8480,8499,8517,8538,8564,8584,8611,8638,8678,8709,8732,8753,8776,8794,8811,8832
TN,突尼斯,突尼斯,https://www.fluentpython.com/data/flags/tn/tn.gif,非洲,Tunisia,0,0,11,11,26,37,37,72,72,86,86,106,116,132,156,156,176,183,183,190,198,206,219,236,253,272,281,305,313,328,351,363,406,438,473,505,545,561,576,616,645,686,728,768,802,844,883,908,941,991,1023,1057,1083,1133,1187,1240,1305,1366,1431,1473,1524,1575,1639,1686,1746,1814,1875,1956,2056,2126,2186,2258,2323,2392,2451,2507,2583,2677,2767,2847,2931,3008,3057,3115,3170,3229,3276,3321,3369,3431,3493,3545,3596,3653,3704,3746,3787,3836,3878,3928,3979,4039,4092,4165,4231,4290,4352,4405,4452,4505,4556,4610,4673,4732,4786,4848,4913,4978,5038,5091,5151,5203,5268,5314,5370,5425,5484,5550,5616,5671,5717,5768,5811,5857,5904,5950,5997,6040,6090,6139,6189,6240,6283,6322,6361,6395,6431,6466,6505,6552,6592,6637,6708,6754,6791,6823,6857,6894,6926,6957,6991,7033,7073,7125,7163,7210,7242,7271,7297,7330,7357,7384,7416,7468,7504,7557,7646,7683,7718,7748,7776,7801,7831,7853,7883,7906,7926,7946,7967,7989,8008,8026,8046,8074,8096,8118,8141,8160,8174,8192,8214,8240,8257,8277,8292,8315,8334,8351,8370,8386,8403,8430,8462,8510,8544,8567,8588,8611,8639,8666,8688
TH,泰国,泰国,https://www.fluentpython.com/data/flags/th/th.gif,亚洲,Thailand,0,0,27,45,66,72,93,120,171,195,220,230,254,274,292,309,328,349,367,394,419,450,475,484,498,508,529,548,562,572,603,655,732,758,779,798,825,844,876,903,932,977,1023,1078,1117,1161,1199,1228,1264,1304,1357,1403,1452,1503,1574,1665,1745,1801,1856,1898,1950,2011,2072,2129,2181,2229,2300,2395,2466,2520,2580,2624,2665,2722,2770,2822,2867,2906,2948,3044,3129,3175,3213,3246,3282,3324,3363,3415,3453,3495,3538,3583,3626,3662,3701,3737,3775,3810,3843,3880,3921,3972,4014,4075,4158,4201,4256,4301,4344,4390,4436,4490,4543,4585,4632,4679,4724,4775,4824,4871,4924,4976,5042,5100,5164,5229,5295,5395,5480,5550,5612,5680,5741,5807,5889,5950,6011,6069,6127,6173,6218,6268,6314,6356,6392,6436,6475,6510,6542,6578,6609,6651,6728,6761,6792,6821,6850,6885,6914,6938,6961,6989,7015,7058,7087,7114,7137,7161,7185,7208,7229,7249,7270,7296,7323,7399,7479,7510,7544,7581,7607,7631,7655,7679,7707,7728,7747,7769,7790,7813,7836,7855,7876,7900,7922,7945,7968,7988,8004,8019,8036,8055,8072,8091,8108,8131,8155,8176,8196,8217,8238,8279,8310,8386,8468,8510,8539,8565,8596,8634,8666
ID,印度尼西亚,印度尼西亚,https://www.fluentpython.com/data/flags/id/id.gif,亚洲,Indonesia,0,0,9,18,28,47,66,75,87,100,112,123,142,148,165,175,200,207,219,243,252,261,275,283,295,305,316,333,350,360,371,409,459,488,518,544,571,598,626,664,701,742,788,812,840,885,922,957,996,1034,1078,1130,1183,1238,1306,1387,1451,1519,1588,1643,1706,1773,1847,1929,2003,2075,2146,2227,2296,2354,2426,2486,2542,2595,2648,2707,2757,2810,2855,2914,2977,3020,3064,3103,3147,3193,3245,3296,3345,3400,3454,3504,3548,3602,3657,3706,3762,3819,3880,3944,4002,4066,4121,4185,4237,4294,4356,4411,4468,4516,4571,4631,4704,4780,4846,4916,4974,5034,5085,5141,5213,5277,5355,5421,5486,5560,5636,5715,5786,5835,5888,5944,5998,6056,6121,6170,6213,6260,6313,6352,6395,6426,6460,6492,6530,6565,6605,6694,6731,6789,6840,6895,6984,7015,7044,7076,7112,7154,7183,7205,7225,7257,7291,7349,7375,7401,7421,7440,7458,7483,7502,7522,7543,7573,7605,7670,7770,7795,7823,7849,7870,7890,7910,7929,7954,7972,7988,8006,8020,8036,8052,8067,8083,8099,8117,8135,8152,8165,8177,8189,8203,8217,8229,8248,8262,8291,8308,8326,8341,8354,8371,8410,8436,8491,8529,8549,8567,8590,8611,8639,8665
