alpha_2,region,,flag,大洲:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
CV,Cabo Verde,Cabo Verde,https://www.fluentpython.com/data/flags/cv/cv.gif,非洲,CV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,37,0,0,0,0,0,0,0,0,33,0,0,61,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,20,15,16,0,0,0,0,0,0,17,67,33,0,0,0,0,0,17,0,0,19,0,18,0,0,0,0,51,0,36,18,0,39,20,0,0,0,0,19,0,20,20,21,42,0,22,0,0,17,0,0,16,0,0,40,0,0,21,0,37,0,18,0,50,17,16,0,38,0,37,50,76,78,0,91,33,100
GF,法属圭亚那,法属圭亚那,,南美,GF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,14,14,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,18,0,0,9,0,0,0,25,16,0,0,0,0,0,8,8,0,15,7,7,7,0,0,0,0,7,0,0,0,7,0,0,6,19,7,0,0,7,0,7,7,7,12,6,0,6,0,0,15,7,0,0,0,0,7,0,0,0,8,0,8,0,0,0,0,0,0,0,18,6,0,13,0,6,6,7,0,0,24,6,6,0,18,6,0,6,15,30,0,0,0,0,0,0,0,0,14,30,15,0,0,0,0,16,0,0,18,37,0,16,17,0,0,53,31,100
LI,列支敦士登,列支敦士登,https://www.fluentpython.com/data/flags/li/li.gif,欧洲,LI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,56,0,0,0,0,0,0,0,44,43,0,0,0,93,43,40,0,0,38,0,0,0,76,0,77,0,0,100,0,0,31,33,0,31,0,31,0,0,27,0,0,0,24,0,0,0,23,0,0,0,24,23,0,0,19,0,19,0,0,38,0,0,0,17,16,37,30,17,0,16,0,0,0,0,0,0,30,96,27,0,43,0,41,14,27,43,0,0,13,0,0,14,0,0,14,28,0,32,15,31,0,16,16,0,30,31,0,15,20,59,19,18,34,0,16,35,31,17,0,17,17,15,0,32,0,0,0,36,16,0,17,17,18,18,56,17,17,19,16,18,17,17,0,36,18,17,16,15,15,16,42,0,0,14,14,14,0,0,13,0,0,0,0,0,12,0,0,13,57,0,28,28,0,0,14,74,92,76
MQ,马提尼克,马提尼克,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_the_Territorial_Collectivity_of_Martinique.svg/240px-Flag_of_the_Territorial_Collectivity_of_Martinique.svg.png,北美,MQ,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,19,19,66,23,0,0,0,12,0,0,0,0,5,0,0,0,0,0,4,6,13,7,0,5,0,5,0,0,4,0,3,4,0,7,0,7,4,4,9,0,4,4,8,0,4,4,0,4,9,0,5,0,0,5,4,0,0,5,9,0,0,9,0,4,0,0,0,4,12,8,8,9,4,0,0,0,0,9,4,9,8,8,8,12,0,4,4,0,4,4,15,0,0,4,0,12,0,4,0,8,100,35,0,14,9,0,0,4,4,8,19,31,43,6,0,24,88,64
BB,巴巴多斯,巴巴多斯,https://www.fluentpython.com/data/flags/bb/bb.gif,北美,BB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,20,18,0,0,0,0,0,50,0,0,20,17,0,0,0,15,0,0,0,13,0,13,0,0,12,0,0,0,0,0,20,0,10,0,30,0,0,0,0,0,0,0,9,28,0,0,0,9,0,9,38,9,10,20,19,0,0,33,11,0,12,0,11,11,21,0,11,0,58,23,0,0,0,11,0,0,20,11,0,10,9,9,9,17,0,11,22,32,18,10,19,39,0,18,0,26,0,16,25,16,0,30,21,13,26,7,0,8,39,15,100,26,0,24,7,0,8,8,9,0,16,24,43,67,49,100,44,52
BG,保加利亚,保加利亚,https://www.fluentpython.com/data/flags/bg/bg.gif,欧洲,BG,0,0,9,18,11,26,7,28,21,33,37,12,22,10,17,31,29,9,37,15,12,24,11,28,24,17,7,9,24,20,9,18,35,37,21,20,10,6,8,13,15,7,13,12,20,21,21,22,16,13,16,14,17,27,31,26,30,24,29,27,22,28,22,26,25,27,26,35,34,31,35,27,30,39,23,37,33,36,31,34,41,35,40,34,46,36,8,8,8,11,9,9,12,21,10,14,12,10,12,12,11,9,9,14,15,20,10,13,10,8,9,7,11,11,12,12,18,20,15,12,15,18,20,35,20,12,11,11,17,19,11,11,11,8,8,11,12,12,9,13,19,19,14,9,10,7,10,13,11,12,12,18,22,18,20,11,11,14,11,10,12,15,17,13,21,20,14,10,10,11,12,14,12,13,23,18,25,28,20,15,13,11,12,15,18,13,17,22,31,31,21,15,14,14,15,12,9,8,9,9,10,15,16,15,20,12,7,11,10,9,9,15,22,21,18,19,21,13,14,100,85,51
NC,新喀里多尼亚,新喀里多尼亚,,澳洲,NC,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,12,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,5,5,0,0,0,0,0,0,0,0,9,0,0,27,0,8,0,0,0,7,4,4,0,10,0,4,0,0,0,15,4,0,0,4,0,4,4,0,7,0,0,0,4,0,4,0,0,3,3,0,3,0,0,0,0,6,0,10,0,4,0,0,0,0,0,4,4,4,4,0,0,0,4,0,0,3,4,3,0,0,4,0,0,3,0,0,0,8,0,4,4,0,0,0,7,18,32,34,33,37,62,25,52,26,52,28,34,48,36,0,6,7,7,26,8,6,0,0,0,0,7,0,6,0,8,0,44,46,51
VE,委内瑞拉,委内瑞拉,https://www.fluentpython.com/data/flags/ve/ve.gif,南美,VE,0,0,18,18,0,0,0,0,0,0,25,0,10,12,9,9,7,7,6,0,0,0,0,5,5,0,0,0,4,9,0,0,0,4,7,0,0,0,0,3,7,2,2,6,2,0,2,2,2,2,0,2,5,0,1,1,1,5,2,3,7,5,3,2,1,3,2,1,4,4,8,5,5,12,0,6,5,3,2,3,0,1,5,1,0,4,2,2,3,3,2,2,0,3,5,2,2,4,2,1,3,2,2,12,17,10,5,6,4,4,5,5,3,3,5,4,12,13,8,12,15,24,10,28,12,7,9,3,5,4,5,3,4,3,3,4,3,4,4,3,3,2,9,5,4,7,4,12,5,3,3,3,5,10,9,7,5,4,3,4,2,8,5,4,5,5,5,2,2,3,2,8,4,6,75,5,2,5,3,5,7,7,8,23,20,24,28,26,30,20,19,12,22,27,29,26,24,26,22,28,30,32,40,27,50,29,29,24,41,40,24,27,30,34,31,35,47,46,37,100,76,49
PT,葡萄牙,葡萄牙,https://www.fluentpython.com/data/flags/pt/pt.gif,欧洲,PT,0,0,3,5,6,2,0,2,0,5,6,4,3,13,9,9,5,4,8,9,9,3,7,1,4,3,7,5,1,4,5,7,3,4,6,5,5,4,4,6,3,3,4,4,5,8,6,10,6,5,6,4,3,5,5,5,5,6,5,9,15,2,5,4,5,7,6,4,3,5,6,6,5,4,5,6,5,6,5,4,5,10,5,5,4,7,5,4,8,12,6,7,6,6,6,6,6,6,9,5,6,6,6,9,7,7,6,16,12,5,5,6,5,5,6,5,6,6,6,8,6,8,8,18,8,7,6,5,7,6,7,5,5,6,7,7,6,6,6,7,6,7,26,8,16,8,9,11,10,8,9,10,8,11,12,38,31,15,8,6,9,9,22,8,9,13,7,7,8,8,6,7,11,8,18,7,9,11,7,8,9,10,10,11,11,10,11,11,11,12,10,12,13,10,9,8,8,5,6,7,7,7,9,11,9,9,5,8,8,7,7,7,6,11,61,11,18,35,8,100,84,47
LT,立陶宛,立陶宛,https://www.fluentpython.com/data/flags/lt/lt.gif,欧洲,LT,0,0,40,8,5,15,9,7,12,11,18,17,8,12,8,9,18,12,19,18,18,14,19,11,14,8,11,17,7,8,7,17,10,13,7,11,10,14,9,10,10,14,12,11,12,6,13,12,8,12,8,7,8,10,10,11,9,9,11,7,9,11,7,9,8,10,8,9,9,11,7,10,7,5,8,8,11,9,9,9,10,9,8,9,12,7,7,9,10,10,11,12,8,9,8,9,9,10,11,9,8,9,10,13,13,13,11,8,9,12,9,8,12,13,8,10,16,13,13,11,13,19,21,42,17,16,11,10,11,11,13,11,10,10,11,11,11,12,11,12,13,13,15,13,12,11,12,14,15,15,13,15,18,18,19,19,20,21,16,19,24,25,26,26,30,25,23,28,26,24,23,23,26,26,32,27,26,32,32,35,38,33,31,30,37,38,37,45,42,41,37,34,35,31,30,28,22,10,10,14,13,16,15,12,13,13,13,14,12,11,15,19,20,18,19,25,22,21,20,100,73,46
