alpha_2,region,,flag,行政区划:,origin name,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
CN,北京市,北京市,https://img.ixintu.com/download/jpg/201912/62597f86301fc31afd03aaeb24ab5a73.jpg!con,华北地区,CN-11,0,41,141,168,262,274,299,299,310,352,375,375,375,375,375,375,390,407,407,407,424,424,424,424,424,424,448,448,448,470,495,495,495,495,531,549,549,549,549,549,549,549,618,618,630,658,675,675
CN,上海市,上海市,https://img.ixintu.com/download/jpg/201912/6d2ea4d3101c4d3b91a052d624183bcb.jpg!con,华东地区,CN-31,0,21,44,67,88,88,109,109,109,130,130,130,169,169,190,210,210,230,230,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,251,261,261,261,287,287,387,436,473,483,483,495
CN,浙江省,浙江省,https://img.ixintu.com/upload/jpg/20210524/d68df5a7d93ff2660bb0ca441e507b47_25601_580_435.jpg!con,华东地区,CN-33,0,0,47,47,47,90,90,131,131,131,202,245,245,245,245,282,282,282,282,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,325,376,431,471,471,471,471,471
CN,广东省,广东省,https://img.ixintu.com/upload/jpg/20210523/a09af10e112997946988f334505d9bfe_34181_580_435.jpg!con,中南地区,CN-44,0,10,67,87,125,135,135,135,144,144,144,153,170,170,170,179,179,200,200,200,211,225,225,225,225,225,225,241,241,276,276,288,288,288,304,304,312,316,316,320,320,320,420,444,451,464,469,469
CN,江苏省,江苏省,https://img.ixintu.com/upload/jpg/20210523/19807181cab3076cfb28804e4c164565_29801_580_435.jpg!con,华东地区,CN-32,0,0,77,77,77,149,149,149,149,224,224,224,224,224,224,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,299,399,399,399,399,399,399,399,399,399,399,466,466,466,466,466,466
CN,四川省,四川省,https://img.ixintu.com/download/jpg/201912/d2d24d419fa60c407cc43cd034a84359.jpg!con,西南地区,CN-51,0,0,0,97,97,97,97,97,97,97,97,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,188,249,249,249,349,349,349,420,420,420
CN,福建省,福建省,https://img.ixintu.com/download/jpg/201912/c34de0247ba1e481695d00f7d17a6246.jpg!con,华东地区,CN-35,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,233,233,233,233,233,233
CN,陕西省,陕西省,https://img.ixintu.com/download/jpg/201912/4298c16406c5ef10957afe92eba79628.jpg!con,西北地区,CN-61,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,198,198,198,198,198,198
CN,天津市,天津市,https://img.ixintu.com/download/jpg/201912/c06946c53765380afaf213e81747186f.jpg!con,华北地区,CN-12,0,0,0,0,0,0,0,0,0,0,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,185,185,185,185,185,185
CN,山东省,山东省,https://img.ixintu.com/upload/jpg/20210525/82567f17f736c23a163b0e30147129fa_36268_580_435.jpg!con,华东地区,CN-37,0,0,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,147,147,147,147,147,147
