alpha_2,region,,flag,大洲:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
UA,乌克兰,乌克兰,https://www.fluentpython.com/data/flags/ua/ua.gif,欧洲,UA,0,0,1011874248,1241845668,2115737064,3388245588,3786862716,4737411252,6193896912,6592514040,7083119736,7405079724,8938222524,9934765344,10057416768,10180068192,10777993884,11590559568,11912519556,12234479544,12571770960,13215690936,14028256620,14518862316,14978805156,15546067992,16036673688,16419959388,16910565084,17033216508,18474370740,19884862116,20176159248,20743422084,21034719216,21402673488,21939273468,22414547736,23319101988,23963021964,24514953372,25296856200,26140084740,26523370440,26891324712,27397261836,28087176096,28332478944,28731096072,29191038912,29696976036,30018936024,30463547436,31000147416,31536747396,31904701668,32272655940,32870581632,33238535904,33759804456,34051101588,34311735864,34572370140,34878998700,35108970120,35354272968,35568912960,35814215808,36074850084,36749432916,37316695752,37561998600,37991278584,38374564284,38573872848,38635198560,38773181412,39003152832,39171798540,39294449964,39539752812,39723729948,39907707084,40122347076,40367649924,40566958488,40658947056,40858255620,41088227040,41348861316,41548169880,41686152732,41839467012,41992781292,42207421284,42376066992,42606038412,42759352692,42897335544,43050649824,43203964104,43418604096,43602581232,45105061176,45473015448,45733649724,45978952572,46224255420,46438895412,46653535404,46822181112,46944832536,47082815388,47236129668,47358781092,47466101088,47573421084,47665409652,47803392504,47941375356,48094689636,48202009632,48324661056,48447312480,48569963904,48677283900,48784603896,48861261036,48937918176,49075901028,49198552452,49321203876,49413192444,49505181012,49581838152,49673826720,49781146716,49888466712,49965123852,50041780992,50103106704,50164432416,50317746696,50425066692,50517055260,50624375256,50685700968,50777689536,50900340960,51007660956,51084318096,51252963804,51390946656,51467603796,51605586648,51712906644,51804895212,51927546636,52034866632,52188180912,52402820904,52540803756,52648123752,52755443748,52832100888,52939420884,53108066592,53261380872,53399363724,53476020864,53568009432,53690660856,53859306564,53981957988,54119940840,54242592264,54365243688,54457232256,54579883680,54733197960,54871180812,54978500808,55085820804,55177809372,55300460796,55423112220,55530432216,55683746496,55791066492,55883055060,56021037912,56312335044,56465649324,56588300748,56680289316,56787609312,56971586448,57094237872,57201557868,57293546436,57385535004,57477523572,57630837852,57814814988,57952797840,58060117836,58167437832,58274757828,58520060676,58658043528,58811357808,59485940640,60037872048,60283174896,60467152032,60589803456,60835106304,60973089156,61233723432,61371706284,61555683420,61708997700
BR,巴西,巴西,https://www.fluentpython.com/data/flags/br/br.gif,南美,BR,0,0,199308564,827897112,1257177096,1425822804,1824439932,1962422784,2100405636,2575679904,3480234156,3710205576,4062828420,4676085540,5120696952,5718622644,5979256920,6439199760,6991131168,7221102588,7619719716,7681045428,7880353992,8309633976,8800239672,9260182512,9444159648,9689462496,9965428200,10364045328,11115285300,12648428100,13307679504,13568313780,14074250904,14488199460,14687508024,15224108004,15576730848,15914022264,16097999400,16343302248,16680593664,16895233656,17140536504,17447165064,17815119336,18045090756,18305725032,18597022164,18857656440,19056965004,19286936424,19455582132,19716216408,19946187828,20130164964,20590107804,20820079224,21004056360,21126707784,21326016348,21509993484,21632644908,21831953472,22031262036,22261233456,22552530588,22767170580,22997142000,23242444848,23503079124,23947690536,24238987668,24499621944,24698930508,24806250504,24944233356,25036221924,25235530488,25404176196,25557490476,25710804756,25864119036,26017433316,26216741880,26354724732,26477376156,26630690436,26738010432,26906656140,27013976136,27197953272,27305273268,27397261836,27550576116,27642564684,27826541820,28025850384,28148501808,28271153232,28501124652,28761758928,29880953172,30064930308,30218244588,30402221724,30524873148,30647524572,30800838852,31000147416,31184124552,31306775976,31460090256,31613404536,31736055960,31858707384,32012021664,32150004516,32303318796,32471964504,32640610212,32763261636,32931907344,33131215908,33253867332,33407181612,33591158748,33729141600,33897787308,34097095872,34204415868,34327067292,34465050144,34633695852,34741015848,34878998700,35016981552,35154964404,35308278684,35461592964,35614907244,35814215808,35952198660,36120844368,36274158648,36442804356,36565455780,36657444348,36764764344,36918078624,37117387188,37301364324,37378021464,37500672888,37592661456,37669318596,37791970020,38006610012,38083267152,38159924292,38251912860,38359232856,38466552852,38573872848,38650529988,38788512840,38926495692,39033815688,39156467112,39263787108,39417101388,39555084240,39662404236,39815718516,39999695652,40153009932,40229667072,40321655640,40398312780,40490301348,40658947056,40934912760,41256872748,41655489876,41946787008,42192089856,42514049844,42759352692,42989324112,43188632676,43372609812,43556586948,43725232656,43909209792,44077855500,44215838352,44430478344,44599124052,44783101188,44921084040,45043735464,45151055460,45273706884,45365695452,45503678304,45580335444,45672324012,45810306864,45932958288,46040278284,46346906844,46576878264,46668866832,46760855400,46837512540,46944832536,47052152532,47159472528,47466101088,47650078224,47772729648
AR,阿根廷,阿根廷,https://www.fluentpython.com/data/flags/ar/ar.gif,南美,AR,0,0,1533142800,2912971320,2912971320,3495565584,3495565584,3940176996,4384788408,5166691236,6270554052,6270554052,6270554052,7435742580,8248308264,8631593964,8631593964,8938222524,8938222524,9183525372,9428828220,9428828220,9658799640,9658799640,9873439632,10777993884,11483239572,11483239572,11835862416,12188485260,12663759528,14120245188,14580188028,15009468012,15285433716,15684050844,16067336544,16343302248,16481285100,16603936524,16925896512,17033216508,17309182212,17968433616,18060422184,18305725032,18382382172,18627685020,18872987868,19532239272,20007513540,20375467812,20452124952,20774084940,20927399220,21004056360,21494662056,21816622044,22199907744,22353222024,22353222024,22598524872,22767170580,23027804856,23165787708,23242444848,23242444848,23457084840,23840370540,23978353392,24039679104,24177661956,24453627660,24898239072,24974896212,25051553352,25235530488,25618816188,26017433316,26216741880,26216741880,26400719016,26646021864,26707347576,26707347576,26768673288,26875993284,26952650424,27105964704,27197953272,27335936124,27458587548,27627233256,27657896112,27795878964,27887867532,27979856100,28133170380,28332478944,28485793224,28654438932,28746427500,28884410352,29758301748,30003604596,30126256020,30310233156,30432884580,30494210292,30678187428,30938821704,31122798840,31230118836,31352770260,31521415968,31613404536,31797381672,31920033096,32150004516,32333981652,32548621644,32640610212,32747930208,32824587348,32947238772,33039227340,33069890196,33299861616,33330524472,33407181612,33667815888,33744473028,33897787308,34066433016,34158421584,34281073008,34373061576,34403724432,34526375856,34679690136,34741015848,34787010132,34940324412,35016981552,35108970120,35216290116,35246952972,35323610112,35384935824,35461592964,35522918676,35630238672,35737558668,35768221524,35890872948,36044187228,36090181512,36166838652,36350815788,36442804356,36519461496,36580787208,36703438632,36764764344,36872084340,36994735764,37132718616,37301364324,37362690036,37516004316,37638655740,37791970020,37929952872,38067935724,38389895712,38604535704,38757849984,38819175696,38926495692,39064478544,39141135684,39263787108,39386438532,39509089956,39647072808,39723729948,39785055660,39907707084,39999695652,40107015648,40260329928,40459638492,40566958488,40796929908,40950244188,41103558468,41272204176,41425518456,41548169880,41686152732,41793472728,41931455580,42069438432,42207421284,42360735564,42437392704,42575375556,42682695552,42805346976,42927998400,43173301248,43725232656,43970535504,44093186928,44200506924,44307826920,44461141200,44583792624,44798432616,45534341160,45886964004,46009615428
CL,智利,智利,https://www.fluentpython.com/data/flags/cl/cl.gif,南美,CL,0,0,0,0,674582832,674582832,674582832,1057868532,1471817088,1471817088,1839771360,2207725632,3342251304,4875394104,4875394104,5841274068,6147902628,7650382572,7911016848,8662256820,9444159648,9674131068,9904102488,10333382472,10548022464,11237936724,11467908144,11467908144,11835862416,13062376656,13369005216,14656845168,15300765144,15592062276,15898690836,16588605096,17140536504,17600479344,17907107904,17907107904,17907107904,18643016448,18964976436,19072296432,19286936424,19777542120,20099502108,20191490676,20467456380,20574776376,20682096372,20912067792,21096044928,21188033496,21433336344,21601982052,22092587748,22337890596,22583193444,22659850584,22736507724,22736507724,22736507724,22935816288,23089130568,23165787708,23303770560,23303770560,23503079124,23763713400,24177661956,24376970520,24637604796,24852244788,24928901928,25020890496,25220199060,25419507624,25480833336,25864119036,26048096172,26216741880,26661353292,26784004716,26845330428,26967981852,27197953272,27197953272,27427924692,27519913260,27550576116,27673227540,27918530388,28087176096,28301816088,28501124652,28700433216,28792421784,28853747496,28884410352,29053056060,29160376056,29283027480,30432884580,30693518856,30816170280,30892827420,31076804556,31199455980,31291444548,31444758828,31690061676,31751387388,31858707384,31920033096,32088678804,32226661656,32395307364,32640610212,32763261636,32916575916,32977901628,33100553052,33223204476,33315193044,33391850184,33453175896,33637153032,33713810172,33775135884,33882455880,34127758728,34250410152,34342398720,34403724432,34449718716,34511044428,34572370140,34741015848,34848335844,34955655840,35154964404,35308278684,35400267252,35446261536,35522918676,35645570100,35768221524,35844878664,35906204376,36013524372,36212832936,36396810072,36534792924,36672775776,36764764344,36780095772,36841421484,37056061476,37240038612,37362690036,37470010032,37607992884,37715312880,37868627160,37945284300,38129261436,38221250004,38267244288,38297907144,38451221424,38619867132,38696524272,38803844268,39079809972,39202461396,39355775676,39478427100,39616409952,39662404236,39723729948,39815718516,39892375656,39969032796,40030358508,40122347076,40168341360,40290992784,40413644208,40520964204,40735604196,40842924192,40904249904,41011569900,41042232756,41195547036,41272204176,41379524172,41486844168,41609495592,41793472728,41900792724,42054107004,42207421284,42268746996,42376066992,42437392704,42514049844,42575375556,42636701268,42728689836,43127306964,43265289816,43372609812,43464598380,43525924092,43832552652,43985866932,44169844068,44813764044,45105061176,45243044028
RU,俄罗斯,俄罗斯,https://www.fluentpython.com/data/flags/ru/ru.gif,欧洲,RU,0,0,0,0,0,0,705245688,705245688,705245688,705245688,705245688,1349165664,1349165664,1870434216,2407034196,2407034196,2820982752,3786862716,4216142700,4216142700,4676085540,5580639792,5580639792,5580639792,5580639792,5887268352,6193896912,6193896912,6193896912,6454531188,7159776876,8692919676,8692919676,8692919676,8907559668,9091536804,9091536804,9398165364,9980759628,10272056760,10394708184,10747331028,11176611012,11651885280,12004508124,12234479544,12541108104,12786410952,13154365224,13430330928,14043588048,14304222324,14595519456,14948142300,15178113720,15362090856,15668719416,15975347976,16281976536,16634599380,16772582232,16864570800,17002553652,17278519356,17477827920,17937770760,18060422184,18459039312,18597022164,19210279284,19501576416,19685553552,20022844968,20206822104,20314142100,20390799240,20467456380,20574776376,20651433516,20697427800,20697427800,20774084940,20988724932,21142039212,21264690636,21326016348,21402673488,21555987768,21678639192,21785959188,21923942040,21969936324,22184576316,22337890596,22445210592,22521867732,22613856300,22675182012,22797833436,22935816288,23089130568,23257776276,23411090556,24806250504,25005559068,25204867632,25358181912,25511496192,25695473328,25787461896,25971439032,26094090456,26201410452,26293399020,26431381872,26569364724,26676684720,26814667572,26906656140,27013976136,27121296132,27197953272,27335936124,27458587548,27581238972,27642564684,27734553252,27826541820,27903198960,27995187528,28163833236,28271153232,28378473228,28470461796,28562450364,28669770360,28777090356,28899741780,28991730348,29068387488,29145044628,29206370340,29283027480,29390347476,29482336044,29558993184,29650981752,29758301748,29834958888,29911616028,30003604596,30202913160,30356227440,30432884580,30555536004,30647524572,30739513140,30862164564,31030810272,31199455980,31368101688,31490753112,31674730248,31828044528,31996690236,32134673088,32272655940,32533290216,32701935924,32870581632,33161878764,33437844468,33744473028,33989775876,34265741580,34511044428,34756347276,35078307264,35277615828,35446261536,35645570100,35814215808,35982861516,36059518656,36136175796,36320152932,36442804356,36626781492,36795427200,36933410052,37056061476,37301364324,37454678604,37592661456,37745975736,37914621444,38083267152,38251912860,38420558568,38589204276,38742518556,38926495692,39095141400,39325112820,39493758528,39601078524,39769724232,39892375656,40030358508,40183672788,40367649924,41180215608,41778141300,42008112720,42268746996,42422061276,42621369840,42790015548,43050649824,43219295532,43449266952,43541255520
LT,立陶宛,立陶宛,https://www.fluentpython.com/data/flags/lt/lt.gif,欧洲,LT,0,0,0,0,0,0,0,0,0,0,0,0,0,935217108,935217108,935217108,1655794224,2468359908,2468359908,3265594164,4154816988,4154816988,4154816988,4154816988,4722079824,5810611212,5810611212,5810611212,6239891196,6699834036,6699834036,7175108304,7175108304,7175108304,7175108304,7527731148,7527731148,7527731148,7803696852,8094993984,8094993984,8094993984,8340296832,8616262536,9428828220,10486696752,10731999600,10731999600,11115285300,11314593864,11314593864,11498571000,11498571000,11667216708,12004508124,12004508124,12004508124,12188485260,12188485260,12464450964,12617765244,12755748096,13016382372,13016382372,13139033796,13277016648,13522319496,13644970920,14058919476,14058919476,14181570900,14181570900,14702839452,14810159448,14810159448,14917479444,15009468012,15208776576,15515405136,15730045128,15852696552,15852696552,16159325112,16450622244,16542610812,16726587948,16956559368,17201862216,17493159348,17661805056,18121747896,18305725032,18581690736,18995639292,19302267852,19746879264,19884862116,20314142100,20375467812,20636102088,20758753512,20896736364,21096044928,22629187728,23012473428,23441753412,23717719116,24085673388,24208324812,24269650524,24269650524,24392301948,24606941940,24775587648,24898239072,24898239072,24959564784,25342850484,25634147616,25956107604,26232073308,26385387588,26477376156,26584696152,26692016148,26906656140,27351267552,27596570400,27780547536,28087176096,28148501808,28485793224,28593113220,28807753212,28961067492,29068387488,29329021764,29543661756,29604987468,30064930308,30294901728,30524873148,30632193144,30678187428,30724181712,30923490276,31030810272,31199455980,31414095972,31582741680,31766718816,32073347376,32211330228,32272655940,32410638792,32655941640,32839918776,33008564484,33115884480,33284530188,33499170180,33606490176,33851793024,33851793024,33851793024,33913118736,34097095872,34204415868,34357730148,34419055860,34618364424,34894330128,35093638692,35154964404,35262284400,35262284400,35323610112,35492255820,35722227240,35783552952,35952198660,36059518656,36166838652,36335484360,36596118636,36596118636,36856752912,37025398620,37592661456,37653987168,37868627160,38021941440,38221250004,38420558568,38635198560,38819175696,38911164264,39079809972,39125804256,39263787108,39309781392,39355775676,39447764244,39493758528,39662404236,39739061376,39815718516,39907707084,39984364224,40076352792,40168341360,41241541320,41486844168,41640158448,41701484160,41854798440,42008112720,42330072708,42437392704,42682695552,42682695552,43035318396
IT,意大利,意大利,https://www.fluentpython.com/data/flags/it/it.gif,欧洲,IT,0,0,858559968,1364497092,1824439932,2284382772,2744325612,3081617028,3403577016,3863519856,4246805556,4798736964,5488651224,6469862616,7144445448,7865022564,8202313980,8769576816,9290845368,9658799640,9950096772,10394708184,10823988168,11115285300,11437245288,11851193844,12203816688,12541108104,12847736664,13292348076,14825490876,15484742280,15868027980,16189987968,16419959388,16665262236,16941227940,17217193644,17370507924,17477827920,17600479344,17753793624,18060422184,18244399320,18397713600,18551027880,18765667872,18888319296,18980307864,19087627860,19194947856,19271604996,19424919276,19670222124,19808204976,19946187828,20268147816,21310684920,21509993484,21647976336,21770627760,21954604896,22107919176,22199907744,22322559168,22491204876,22613856300,22797833436,22889822004,23073799140,23227113420,23319101988,23457084840,23518410552,23595067692,23687056260,23794376256,23871033396,23963021964,24055010532,24116336244,24208324812,24300313380,24392301948,24514953372,24622273368,24698930508,24806250504,24959564784,25036221924,25128210492,25204867632,25281524772,25388844768,25511496192,25588153332,25680141900,25818124752,25910113320,26032764744,26170747596,26324061876,26446713300,27565907544,27734553252,27826541820,27918530388,28010518956,28102507524,28163833236,28240490376,28332478944,28439798940,28516456080,28608444648,28685101788,28761758928,28869078924,29007061776,29083718916,29191038912,29267696052,29329021764,29390347476,29482336044,29543661756,29620318896,29696976036,29758301748,29834958888,29988273168,30049598880,30110924592,30172250304,30264238872,30340896012,30448216008,30524873148,30678187428,30770175996,30831501708,30892827420,31015478844,31076804556,31153461696,31214787408,31276113120,31383433116,31460090256,31598073108,31690061676,31920033096,31996690236,32073347376,32287987368,32364644508,32441301648,32533290216,32625278784,32701935924,32793924492,32901244488,33023895912,33146547336,33223204476,33361187328,33514501608,33621821604,33698478744,33821130168,33913118736,34035770160,34173753012,34327067292,34526375856,34603032996,34695021564,34817672988,34924992984,35108970120,35185627260,35277615828,35430930108,35522918676,35676232956,35814215808,35906204376,35967530088,36044187228,36136175796,36258827220,36381478644,36458135784,36565455780,36642112920,36718770060,36810758628,36964072908,37163381472,37378021464,37500672888,37592661456,37730644308,37837964304,37929952872,38037272868,38129261436,38236581432,38359232856,38512547136,38957158548,39371107104,39739061376,39846381372,39969032796,40045689936,40750935624,41149552752,41747478444,42023444148,42606038412,42744021264
ID,印度尼西亚,印度尼西亚,https://www.fluentpython.com/data/flags/id/id.gif,亚洲,ID,0,0,1088531388,2621674188,3878851284,3878851284,4706748396,5549976936,6853148316,6853148316,6853148316,8033668272,9030211092,10103411052,10103411052,10839319596,11973845268,12280473828,13369005216,13905605196,15040130868,15837365124,16588605096,17079210792,17907107904,18351719316,19026302148,19240942140,19424919276,19424919276,20130164964,20850742080,21218696352,21877947756,22184576316,22690513440,23472416268,24300313380,24422964804,24821581932,25250861916,25956107604,26385387588,26646021864,26983313280,27351267552,27565907544,27857204676,28025850384,28148501808,28547118936,28777090356,29083718916,29221701768,29589656040,29681644608,30080261736,30754844568,31015478844,31245450264,31536747396,31797381672,32042684520,32226661656,32379975936,32701935924,32763261636,32855250204,33023895912,33054558768,33299861616,33437844468,33529833036,33759804456,33851793024,33943781592,34020438732,34051101588,34127758728,34250410152,34373061576,34465050144,34541707284,34603032996,34649027280,34710352992,34756347276,34833004416,34955655840,35032312980,35093638692,35154964404,35231621544,35308278684,35415598680,35538250104,35614907244,35676232956,35722227240,35829547236,35921535804,36013524372,36105512940,36519461496,36626781492,36703438632,36795427200,36826090056,36887415768,36933410052,36979404336,37439347176,37531335744,37623324312,37730644308,37791970020,37837964304,37899290016,37945284300,38006610012,38037272868,38067935724,38113930008,38159924292,38205918576,38251912860,38297907144,38328570000,38374564284,38420558568,38466552852,38512547136,38543209992,38589204276,38650529988,38696524272,38742518556,38773181412,38819175696,38849838552,38895832836,38941827120,38987821404,39033815688,39079809972,39110472828,39156467112,39217792824,39263787108,39294449964,39325112820,39386438532,39417101388,39432432816,39463095672,39493758528,39524421384,39555084240,39601078524,39631741380,39662404236,39693067092,39723729948,39769724232,39800387088,39815718516,39846381372,39892375656,39923038512,39953701368,39969032796,39999695652,40030358508,40076352792,40091684220,40137678504,40183672788,40199004216,40214335644,40260329928,40290992784,40306324212,40336987068,40367649924,40398312780,40428975636,40459638492,40490301348,40505632776,40536295632,40566958488,40612952772,40628284200,40658947056,40674278484,40720272768,40750935624,40796929908,40842924192,40873587048,40919581332,40950244188,40980907044,41026901328,41057564184,41088227040,41118889896,41134221324,41164884180,41195547036,41226209892,41348861316,41440849884,41471512740,41486844168,41502175596,41548169880,41578832736,41624827020,41747478444,41824135584,41870129868
MX,墨西哥,墨西哥,https://www.fluentpython.com/data/flags/mx/mx.gif,北美,MX,0,0,475274268,904554252,1901097072,1901097072,2759657040,3832857000,4246805556,4568765544,4967382672,5503982652,5795279784,7236434016,8003005416,8846233956,9306176796,9965428200,10946639592,11452576716,11912519556,12203816688,12909062376,13353673788,13982262336,14902148016,15362090856,15791370840,16450622244,17247856500,18290393604,19823536404,20697427800,20973393504,21479330628,22031262036,22368553452,22874490576,23150456280,23319101988,23579736264,24039679104,24392301948,24591610512,25082216208,25266193344,25480833336,25787461896,26002101888,26216741880,26324061876,26492707584,26875993284,27090633276,27320604696,27550576116,27703890396,27964524672,28240490376,28378473228,28531787508,28639107504,28792421784,28869078924,29007061776,29191038912,29375016048,29589656040,29896284600,30080261736,30141587448,30310233156,30432884580,30678187428,30739513140,30877495992,30954153132,31061473128,31138130268,31276113120,31368101688,31506084540,31613404536,31644067392,31766718816,31828044528,31981358808,32088678804,32180667372,32241993084,32318650224,32425970220,32502627360,32594615928,32671273068,32701935924,32778593064,32839918776,32947238772,33054558768,33115884480,33269198760,33407181612,34250410152,34403724432,34480381572,34526375856,34572370140,34618364424,34664358708,34741015848,34771678704,34833004416,34909661556,34970987268,35032312980,35108970120,35170295832,35277615828,35338941540,35430930108,35507587248,35584244388,35660901528,35737558668,35798884380,35875541520,35982861516,36059518656,36090181512,36182170080,36228164364,36289490076,36320152932,36366147216,36442804356,36504130068,36565455780,36626781492,36703438632,36780095772,36826090056,36902747196,36948741480,36979404336,37025398620,37071392904,37132718616,37163381472,37209375756,37255370040,37378021464,37470010032,37500672888,37546667172,37607992884,37638655740,37684650024,37730644308,37761307164,37776638592,37822632876,37883958588,37929952872,37991278584,38021941440,38067935724,38098598580,38129261436,38175255720,38221250004,38313238572,38359232856,38405227140,38481884280,38543209992,38604535704,38635198560,38665861416,38711855700,38727187128,38773181412,38803844268,38849838552,38880501408,38895832836,38941827120,39018484260,39064478544,39125804256,39187129968,39263787108,39279118536,39309781392,39340444248,39371107104,39417101388,39478427100,39539752812,39601078524,39662404236,39693067092,39723729948,39769724232,39815718516,39861712800,39892375656,39923038512,39969032796,40015027080,40061021364,40275661356,40413644208,40459638492,40520964204,40566958488,40643615628,40689609912,40750935624,40888918476,40980907044,41011569900
US,美国,美国,https://www.fluentpython.com/data/flags/us/us.gif,北美,US,0,0,429279984,643919976,950548536,1241845668,1379828520,1763114220,1962422784,2115737064,2238388488,2591011332,2851645608,3280925592,3526228440,3863519856,4062828420,4354125552,4645422684,4844731248,5028708384,5274011232,5549976936,5749285500,5994588348,6209228340,6347211192,6623176896,6837816888,7267096872,7987673988,9428828220,9950096772,10394708184,10747331028,11222605296,11452576716,11774536704,12157822404,12449119536,12709753812,12909062376,13384336644,13598976636,13936268052,14365548036,14687508024,14902148016,15178113720,15576730848,15822033696,16082667972,16343302248,16711256520,17094542220,17355176496,17615810772,18014427900,18305725032,18551027880,18765667872,18934313580,19087627860,19256273568,19440250704,19654890696,19823536404,20084170680,20482787808,20820079224,21080713500,21310684920,21555987768,21831953472,22000599180,22107919176,22307227740,22429879164,22583193444,22797833436,22997142000,23135124852,23288439132,23472416268,23641061976,23794376256,23886364824,23978353392,24116336244,24223656240,24330976236,24422964804,24514953372,24606941940,24729593364,24806250504,24882907644,24974896212,25066884780,25158873348,25281524772,25373513340,25557490476,27090633276,27305273268,27443256120,27565907544,27642564684,27749884680,27826541820,27903198960,27964524672,28056513240,28133170380,28209827520,28286484660,28393804656,28501124652,28593113220,28685101788,28777090356,28869078924,28945736064,29068387488,29206370340,29298358908,29375016048,29512998900,29620318896,29727638892,29834958888,29926947456,30003604596,30080261736,30156918876,30264238872,30340896012,30448216008,30540204576,30632193144,30724181712,30785507424,30862164564,30923490276,31015478844,31107467412,31184124552,31276113120,31398764544,31475421684,31536747396,31690061676,31966027380,32027353092,32088678804,32150004516,32195998800,32272655940,32517958788,32625278784,32686604496,32747930208,32824587348,32916575916,33085221624,33177210192,33376518756,33453175896,33514501608,33560495892,33606490176,33790467312,33882455880,33974444448,34051101588,34127758728,34189084440,34265741580,34373061576,34465050144,34526375856,34802341560,34863667272,34909661556,34986318696,35062975836,35124301548,35369604396,35446261536,35783552952,35860210092,35952198660,36013524372,36074850084,36151507224,36550124352,36642112920,36734101488,36856752912,36964072908,37040730048,37102055760,37163381472,37255370040,37454678604,37531335744,37607992884,37684650024,37776638592,38144592864,38267244288,38619867132,38834507124,38911164264,39125804256,39217792824,39355775676,39463095672,39555084240,39815718516,40015027080,40122347076
