alpha_2,region,,flag,大洲:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
CZ,捷克,捷克,https://www.fluentpython.com/data/flags/cz/cz.gif,欧洲,CZ,0,0,1625131368,2453028480,3326919876,4292799840,5197354092,5457988368,6699834036,7604388288,8171651124,9459491076,9766119636,10333382472,10885313880,11912519556,12863068092,13828948056,14472868032,15438747996,16006010832,17125205076,18121747896,18980307864,19823536404,20850742080,21663307764,22491204876,23227113420,23687056260,24223656240,24806250504,25557490476,26109421884,26738010432,27366598980,27995187528,28746427500,29390347476,30187581732,30724181712,31352770260,31858707384,32349313080,32732598780,33422513040,33989775876,34480381572,35124301548,35844878664,36703438632,37178712900,37653987168,38067935724,38573872848,39156467112,39570415668,40091684220,40658947056,41195547036,41716815588,42207421284,42774684120,43418604096,44047192644,44706444048,45151055460,45656992584,46009615428,46530883980,46960163964,47481432516,47910712500,48324661056,48815266752,49459186728,50057112420,50547718116,50992329528,51375615228,51774232356,52264838052,52740112320,53338038012,53905300848,54395906544,54978500808,55469106504,55975043628,56511643608,56925592164,57324209292,57814814988,58136774976,58550723532,59025997800,59501272068,60053203476,60620466312,61126403436,61617009132,62000294832,62352917676,62782197660,63211477644,63671420484,64070037612,64453323312,64882603296,65311883280,65787157548,66262431816,66691711800,67059666072,67504277484,67826237472,68194191744,68700128868,69129408852,69681340260,70355923092,70877191644,71613100188,72149700168,72686300148,73253562984,73790162964,74464745796,75001345776,75522614328,76166534304,76871779992,77500368540,78159619944,78910859916,79616105604,80183368440,80796625560,81578528388,82513745496,83218991184,83924236872,84660145416,85656688236,86377265352,87082511040,87833751012,88753636692,89596865232,90915368040,91651276584,92325859416,93230413668,94027647924,94809550752,95637447864,96649322112,97369899228,98182464912,98964367740,99730939140,100543504824,101248750512,102107310480,103180510440,104131058976,104943624660,105633538920,106676076024,107488641708,108193887396,109297750212,110202304464,110938213008,111704784408,112394698668,113176601496,114035161464,114878390004,115874932824,116641504224,117576721332,118496607012,119447155548,120658338360,121639549752,122544104004,123326006832,124169235372,124966469628,125779035312,126760246704,128431372356,129688549452,130884400836,132156909360,133107457896,133935355008,134778583548,135805789224,137047634892,138442794840,139822623360,140727177612,141616400436,142658937540,143916114636,145035308880,146123840268,147258365940,148208914476,149113468728,150110011548,151152548652,151934451480,152992320012,154157508540,155261371356,156610537020,157576416984,158618954088
PL,波兰,波兰,https://www.fluentpython.com/data/flags/pl/pl.gif,欧洲,PL,0,0,567262836,827897112,1119194244,1548474228,1717119936,1855102788,2192394204,2407034196,2667668472,2882308464,3112279884,3434239872,3710205576,3878851284,4078159848,4246805556,4384788408,4584096972,4783405536,4998045528,5197354092,5365999800,5457988368,5626634076,5841274068,6009919776,6178565484,6316548336,6423868332,6531188328,6623176896,6730496892,6868479744,6991131168,7083119736,7267096872,7481736864,7665714000,7819028280,7987673988,8110325412,8263639692,8416953972,8585599680,8708251104,8861565384,9014879664,9198856800,9352171080,9459491076,9536148216,9643468212,9812113920,9980759628,10134073908,10226062476,10394708184,10548022464,10701336744,10823988168,10961971020,11115285300,11314593864,11483239572,11636553852,11805199560,11973845268,12111828120,12265142400,12403125252,12602433816,12786410952,13016382372,13154365224,13292348076,13414999500,13552982352,13675633776,13813616628,13936268052,14058919476,14181570900,14319553752,14457536604,14610850884,14718170880,14825490876,14948142300,15055462296,15162782292,15254770860,15346759428,15500073708,15653387988,15822033696,16006010832,16159325112,16343302248,16511947956,16680593664,16864570800,17048547936,17232525072,17431833636,17631142200,17845782192,18152410752,18520365024,18826993584,19133622144,20176159248,20942730648,21893279184,22629187728,22889822004,23181119136,23487747696,23840370540,24131667672,24637604796,24974896212,25220199060,25511496192,25864119036,26232073308,26692016148,27121296132,27596570400,28087176096,28685101788,29206370340,29650981752,30371558868,30923490276,31383433116,31828044528,32303318796,32778593064,33269198760,33775135884,34281073008,35032312980,35584244388,36197501508,36780095772,37332027180,37837964304,39049147116,39616409952,40260329928,40888918476,41517507024,42130764144,42820678404,43556586948,44185175496,44936415468,45672324012,46316243988,47082815388,47711403936,48554632476,49581838152,50501723832,51329620944,52280169480,53705992284,54763860816,55653083640,57339540720,58566054960,59547266352,60513146316,61264386288,62184271968,63134820504,64070037612,65005254720,65771826120,66783700368,67703586048,68669466012,69757997400,70923185928,72165031596,73115580132,74112122952,75139328628,76135871448,77132414268,78910859916,80413339860,81900488376,83234322612,84123545436,84951442548,85901991084,86929196760,88416345276,89765510940,91313985168,92356522272,93414390804,94594910760,96174047844,97691859216,98979699168,100267539120,101509384788,102766561884,104192384688,105664201776,106829390304,108147893112,109635041628,110968875864,112272047244,113375910060,114617755728
IR,伊朗,伊朗,https://www.fluentpython.com/data/flags/ir/ir.gif,亚洲,IR,0,0,1533142800,1533142800,1533142800,2284382772,2284382772,2882308464,2882308464,2882308464,3464902728,4706748396,5841274068,5841274068,5841274068,5841274068,5841274068,6638508324,6638508324,6638508324,6991131168,6991131168,7297759728,7604388288,8738913960,8738913960,9260182512,9260182512,9260182512,9260182512,9260182512,9520816788,9520816788,9965428200,10164736764,10164736764,10164736764,10318051044,10318051044,10808656740,10808656740,11099953872,11345256720,11483239572,11483239572,11483239572,11590559568,11590559568,11697879564,11989176696,11989176696,11989176696,12096496692,12096496692,12510445248,12510445248,12771079524,13108370940,13108370940,13261685220,13399668072,13752290916,14028256620,14227565184,14549525172,14810159448,14871485160,14932810872,15208776576,15208776576,15469410852,15592062276,15975347976,16036673688,16205319396,16389296532,16680593664,16849239372,17155867932,17339845068,17600479344,17815119336,18029759328,18336387888,18597022164,18857656440,19087627860,19348262136,19547570700,19930856400,20176159248,20329473528,20513450664,20682096372,20958062076,21188033496,21433336344,21693970620,21847284900,22107919176,22475873448,22583193444,22935816288,23181119136,23487747696,23733050544,23947690536,24208324812,24438296232,24591610512,24913570500,25082216208,25266193344,25450170480,25618816188,25894781892,26170747596,26431381872,26630690436,26845330428,27228616128,27611901828,27826541820,28225158948,28547118936,28884410352,29267696052,29589656040,29911616028,30279570300,30693518856,31168793124,31444758828,32073347376,32701935924,33407181612,34020438732,34572370140,35369604396,35936867232,36718770060,37561998600,38267244288,39064478544,39769724232,40459638492,41118889896,41640158448,42161427000,43403272668,44016529788,44752438332,45442352592,45978952572,46714861116,47450769660,48202009632,48937918176,49597169580,50225758128,50946335244,51605586648,52264838052,53016078024,53997289416,54794523672,55499769360,56266340760,57738157848,58842020664,60175854900,61356374856,62506231956,63456780492,64376666172,65112574716,65833151832,66645717516,67442951772,68316843168,69175403136,70141283100,71061168780,72073043028,73652180112,74602728648,75568608612,76473162864,77270397120,78036968520,78972185628,79876739880,81179911260,82360431216,83264985468,84307522572,85120088256,86070636792,86913865332,88171042428,89320899528,90486088056,91574619444,92494505124,93460385088,94518253620,96066727848,97477219224,98749727748,100374859116,101938664772,103195841868,104774978952,106108813188,107228007432,108393195960,109849681620,111106858716,112302710100,113391241488,114357121452
RO,罗马尼亚,罗马尼亚,https://www.fluentpython.com/data/flags/ro/ro.gif,欧洲,RO,0,0,168645708,413948556,505937124,582594264,643919976,843228540,1073199960,1425822804,1625131368,1809108504,2039079924,2085074208,2207725632,2422365624,2453028480,2529685620,2698331328,2974297032,3004959888,3234931308,3265594164,3449571300,3526228440,3832857000,3970839852,4032165564,4093491276,4154816988,4384788408,4553434116,4706748396,4890725532,4998045528,5090034096,5228016948,5335336944,5488651224,5657296932,5764616928,5810611212,5917931208,6025251204,6132571200,6224559768,6301216908,6362542620,6454531188,6561851184,6730496892,6807154032,6929805456,7067788308,7267096872,7389748296,7497068292,7619719716,7757702568,7819028280,7911016848,8033668272,8156319696,8340296832,8508942540,8662256820,8876896812,8999548236,9275513940,9352171080,9474822504,9597473928,9720125352,9812113920,9934765344,10118742480,10241393904,10333382472,10410039612,10563353892,10701336744,10793325312,10931308164,11084622444,11207273868,11345256720,11467908144,11605890996,11789868132,11927850984,12065833836,12188485260,12280473828,12403125252,12510445248,12633096672,12771079524,12878399520,12985719516,13123702368,13277016648,13384336644,13552982352,13706296632,13813616628,13997593764,14150908044,14304222324,14472868032,14656845168,14825490876,15040130868,15208776576,15392753712,15607393704,15822033696,16082667972,16389296532,16649930808,16879902228,17125205076,17401170780,17692467912,18014427900,18305725032,18612353592,18949645008,19394256420,19746879264,20084170680,20421462096,20896736364,21157370640,21448667772,21831953472,22153913460,22460542020,22889822004,23549073408,24085673388,24668267652,25235530488,25925444748,26692016148,27213284700,27673227540,28148501808,28715764644,29267696052,30708850284,31337438832,31935364524,32471964504,33008564484,33606490176,34281073008,34878998700,35538250104,36090181512,36734101488,37301364324,38113930008,38819175696,39493758528,40536295632,41471512740,42161427000,42897335544,43909209792,44706444048,45396358308,46438895412,47159472528,47987369640,48677283900,49290541020,50011118136,50777689536,51620918076,52448815188,53077403736,53951295132,54687203676,55392449364,57017580732,58244094972,59194643508,60129860616,60988420584,62076951972,63226809072,64346003316,66047791824,67565603196,69037420284,70616557368,71521111620,72502323012,73621517256,74694717216,76243191444,77607688536,79386134184,80673974136,81701179812,83142334044,84966773976,86668562484,88155711000,89612196660,91221996600,92586493692,94180962204,95714105004,96909956388,98427767760,100160219124,101739356208,103395150432,104728984668,106216133184
CL,智利,智利,https://www.fluentpython.com/data/flags/cl/cl.gif,南美,CL,0,0,0,153314280,413948556,505937124,582594264,950548536,1272508524,1487148516,1487148516,1763114220,2054411352,2131068492,2207725632,2391702768,2928302748,3050954172,3096948456,3388245588,3541559868,3725537004,4001502708,4170148416,4216142700,4262136984,4354125552,4676085540,4860062676,4998045528,5274011232,5396662656,5488651224,5657296932,5871936924,5963925492,6255222624,6377874048,6561851184,6761159748,6837816888,7037125452,7175108304,7420411152,7635051144,7711708284,7819028280,7926348276,8033668272,8125656840,8309633976,8401622544,8631593964,8738913960,8907559668,9122199660,9306176796,9505485360,9796782492,10072748196,10364045328,10655342460,10885313880,11038628160,11299262436,11590559568,11805199560,12173153832,12525776676,12939725232,13231022364,13476325212,13644970920,13798285200,14196902328,14595519456,15116788008,15484742280,15852696552,16189987968,16450622244,16803245088,17033216508,17201862216,17385839352,17508490776,17692467912,17891776476,18121747896,18351719316,18689010732,18903650724,19118290716,19317599280,19486244988,19685553552,19854199260,19992182112,20206822104,20390799240,20682096372,20942730648,21234027780,21509993484,21739964904,21923942040,22107919176,22307227740,22705844868,22905153432,23104461996,23334433416,23564404836,23825039112,24101004816,24591610512,25082216208,25557490476,25940776176,26354724732,26707347576,27044638992,27473918976,27872536104,28286484660,28715764644,29375016048,29834958888,30494210292,30984815988,31444758828,32134673088,32686604496,33115884480,33713810172,34250410152,34679690136,35246952972,36166838652,36688107204,37209375756,37791970020,38405227140,39064478544,39539752812,39892375656,40474969920,41057564184,41594164164,42728689836,43495261236,44215838352,44982409752,45626329728,46162929708,46791518256,47512095372,47987369640,48508638192,49229215308,49796478144,50409735264,50992329528,51590255220,52433483760,53108066592,53659998000,54165935124,54978500808,55806397920,56480980752,57630837852,58259426400,59148649224,59761906344,60313837752,60988420584,61770323412,62490900528,63196146216,63886060476,64591306164,65311883280,66170443248,67504277484,68301511740,69620014548,70785203076,71521111620,72486991584,73422208692,74280768660,75967225740,77209071408,78266939940,79432128468,80198699868,80949939840,81731842668,82621065492,83709596880,84629482560,85794671088,86837208192,87695768160,88630985268,90087470928,91375310880,92479173696,93552373656,94809550752,95852087856,96833299248,97814510640,98688402036,99577624860,100712150532,102076647624,103717110420,104943624660,106124144616
ES,西班牙,西班牙,https://www.fluentpython.com/data/flags/es/es.gif,欧洲,ES,0,0,91988568,168645708,275965704,352622844,413948556,490605696,551931408,613257120,674582832,735908544,843228540,873891396,904554252,950548536,996542820,1057868532,1103862816,1149857100,1211182812,1287839952,1364497092,1395159948,1425822804,1471817088,1517811372,1594468512,1625131368,1655794224,1717119936,1763114220,1793777076,1824439932,1870434216,1916428500,1962422784,2023748496,2131068492,2192394204,2238388488,2269051344,2330377056,2422365624,2514354192,2606342760,2698331328,2805651324,2912971320,2989628460,3050954172,3127611312,3188937024,3265594164,3372914160,3480234156,3572222724,3648879864,3725537004,3832857000,3924845568,4016834136,4093491276,4231474128,4354125552,4446114120,4507439832,4599428400,4752742680,4844731248,4921388388,4998045528,5120696952,5212685520,5304674088,5381331228,5457988368,5549976936,5641965504,5733954072,5810611212,5902599780,5994588348,6071245488,6163234056,6255222624,6377874048,6469862616,6577182612,6669171180,6761159748,6853148316,6960468312,7067788308,7159776876,7251765444,7343754012,7451074008,7589056860,7757702568,7880353992,7987673988,8140988268,8324965404,8493611112,8692919676,8892228240,9030211092,9168193944,9352171080,9490153932,9628136784,9781451064,9965428200,10180068192,10348713900,10532691036,10900645308,11145948156,11467908144,11743873848,12004508124,12280473828,12556439532,12832405236,13077708084,13323010932,13614308064,13905605196,14227565184,14503530888,14840822304,15239439432,15607393704,16036673688,16634599380,17079210792,17493159348,18183073608,18673679304,19133622144,19700884980,20191490676,20820079224,21264690636,21724633476,22153913460,22644519156,23165787708,24806250504,25542159048,26124753312,26906656140,27627233256,28255821804,29145044628,29926947456,30892827420,31828044528,32686604496,33591158748,34526375856,35446261536,36366147216,37807301448,39079809972,40153009932,41057564184,42360735564,43433935524,44399815488,45656992584,46592209692,47496763944,48370655340,49275209592,50363740980,51544260936,52632792324,53721323712,54717866532,55791066492,56710952172,57722826420,59087323512,60252512040,61356374856,62383580532,63518106204,64683294732,65771826120,66814363224,68316843168,69528025980,70739208792,72180363024,73253562984,73974140100,74756042928,75752585748,77163077124,78619562784,80367345576,81670516956,82759048344,84031556868,85580031096,87021185328,88370350992,89719516656,91267990884,92540499408,93935659356,95438139300,96756642108,98243790624,99807596280,101279413368,102827887596,104253710400,105679533204
UA,乌克兰,乌克兰,https://www.fluentpython.com/data/flags/ua/ua.gif,欧洲,UA,0,0,260634276,735908544,1027205676,1027205676,1226514240,1425822804,1425822804,1425822804,1579137084,2054411352,2054411352,2054411352,2054411352,2177062776,2284382772,2284382772,2284382772,2391702768,2728994184,2836314180,2836314180,3004959888,3158274168,3296257020,3510897012,3771531288,3940176996,4001502708,4062828420,4246805556,4492108404,4492108404,4645422684,5013376956,5197354092,5304674088,5365999800,5749285500,6040582632,6193896912,6715165464,7267096872,7573725432,7757702568,7926348276,8048999700,8248308264,8508942540,8692919676,8907559668,9137531088,9352171080,9428828220,9658799640,10103411052,10272056760,10502028180,10670673888,11023296732,11237936724,11452576716,11621222424,11881856700,12173153832,12387793824,12571770960,12832405236,13031713800,13292348076,13399668072,13614308064,13844279484,14012925192,14288890896,14549525172,14748833736,14994136584,15208776576,15500073708,15699382272,15975347976,16143993684,16327970820,16511947956,16695925092,16895233656,17109873648,17324513640,17462496492,17600479344,17815119336,17983765044,18183073608,18397713600,18597022164,18796330728,18995639292,19210279284,19394256420,19578233556,19792873548,19946187828,20130164964,20329473528,20574776376,20789416368,21034719216,21249359208,21494662056,21755296332,21969936324,22184576316,22491204876,22813164864,23073799140,23533741980,23932359108,24346307664,24821581932,25266193344,25756799040,26155416168,26538701868,26983313280,27289941840,27657896112,28071844668,28501124652,28945736064,29543661756,30034267452,30555536004,31230118836,31690061676,32150004516,32686604496,33299861616,33821130168,34449718716,35016981552,35645570100,36258827220,36902747196,37439347176,38113930008,38711855700,39279118536,40290992784,40873587048,41440849884,42146095572,42759352692,43311284100,43847884080,44323158348,44813764044,45365695452,45917626860,46484889696,47098146816,47665409652,48186678204,48922586748,49566506724,50149100988,50701032396,51697575216,52448815188,53200055160,54365243688,55085820804,55806397920,56465649324,57140232156,57830146416,58627380672,59332626360,60099197760,60773780592,61540351992,62291591964,63073494792,64054706184,64836609012,65649174696,66507734664,67534940340,68592808872,69512694552,70401917376,72134368740,73437540120,74633391504,75798580032,76733797140,77546362824,78527574216,79692762744,81011265552,82421756928,83878242588,85074093972,86131962504,87220493892,88569659556,89704185228,90838710900,92003899428,93153756528,94318945056,96158716416,97538544936,98657739180,99792264852,100926790524,101969327628,103119184728,104039070408,104591001816
RU,俄罗斯,俄罗斯,https://www.fluentpython.com/data/flags/ru/ru.gif,欧洲,RU,0,0,0,0,183977136,183977136,551931408,797234256,1211182812,1471817088,1686457080,2345708484,2866977036,3142942740,3418908444,3602885580,3894182712,4400119836,4630091256,4706748396,5105365524,5411994084,5749285500,6117239772,6239891196,6561851184,6715165464,7021794024,7282428300,7420411152,7466405436,7711708284,8018336844,8171651124,8493611112,8677588248,8738913960,8769576816,8968885380,10088079624,10394708184,10624679604,11069291016,11544565284,11805199560,11958513840,12234479544,12556439532,12786410952,13185028080,13430330928,13721628060,14058919476,14380879464,14580188028,14856153732,15208776576,15500073708,15960016548,16143993684,16542610812,16833907944,17109873648,17324513640,17661805056,18029759328,18213736464,18428376456,18765667872,19164285000,19470913560,19777542120,20084170680,20344804956,20666764944,20912067792,21111376356,21372010632,21663307764,21923942040,22199907744,22399216308,22705844868,23027804856,23288439132,23503079124,23763713400,24009016248,24269650524,24484290516,24683599080,24944233356,25189536204,25419507624,25634147616,25879450464,26078759028,26324061876,26569364724,26829999000,27029307564,27228616128,27458587548,27688558968,27903198960,28117838952,28347810372,28577781792,28853747496,29068387488,29313690336,29620318896,29880953172,30110924592,30478878864,30785507424,31230118836,31889370240,32364644508,32839918776,33529833036,34327067292,34940324412,35538250104,36074850084,36580787208,36994735764,37470010032,38067935724,38619867132,39110472828,39708398520,40244998500,40750935624,41318198460,41870129868,42345404136,42805346976,43311284100,43771226940,44415146916,44951746896,45534341160,46193592564,46699529688,47190135384,47696072508,48217341060,48692615328,49520512440,50026449564,50517055260,51191638092,51728238072,52234175196,52724780892,53154060876,53598672288,54119940840,54564552252,55039826520,55515100788,56005706484,56480980752,57124900728,57738157848,58228763544,58719369240,59470609212,60068534904,60574472028,61617009132,62245597680,62766866232,63226809072,63702083340,64208020464,64821277584,65419203276,65971134684,66477071808,67059666072,67626928908,68255517456,69022088856,69604683120,70248603096,70785203076,71444454480,72134368740,72732294432,73284225840,74449414368,75491951472,76350511440,77178408552,77806997100,78343597080,79048842768,79892071308,80919276984,82023139800,83188328328,84077551152,84982105404,85963316796,87327813888,88554328128,89581533804,90593408052,91651276584,92709145116,94441596480,95714105004,96710647824,97722522072,98872379172,99838259136,101003447664,102015321912,102781893312
AR,阿根廷,阿根廷,https://www.fluentpython.com/data/flags/ar/ar.gif,南美,AR,0,0,122651424,122651424,628588548,1103862816,1563805656,1640462796,1640462796,1763114220,2192394204,2253719916,2315045628,2698331328,2897639892,3265594164,3311588448,3510897012,3679542720,3894182712,4108822704,4476776976,4584096972,4752742680,4860062676,5013376956,5212685520,5289342660,5519314080,5871936924,5979256920,6193896912,6485194044,6669171180,6853148316,6960468312,7159776876,7466405436,7727039712,7880353992,8156319696,8370959688,8631593964,8938222524,9260182512,9413496792,9612805356,9781451064,10042085340,10180068192,10379376756,10578685320,10762662456,11084622444,11299262436,11529233856,11682548136,11835862416,11989176696,12234479544,12372462396,12679090956,12863068092,13185028080,13414999500,13660302348,13905605196,14074250904,14488199460,14718170880,14886816588,15055462296,15285433716,15454079424,15745376556,16021342260,16312639392,16465953672,16619267952,16803245088,17048547936,17278519356,17539153632,17815119336,18075753612,18351719316,18566359308,18780999300,19026302148,19256273568,19486244988,19639559268,19823536404,20038176396,20252816388,20467456380,20651433516,20850742080,21004056360,21218696352,21479330628,21693970620,22000599180,22337890596,22629187728,22920484860,23181119136,23518410552,23871033396,24070341960,24300313380,24606941940,24928901928,25220199060,25511496192,25894781892,26216741880,26600027580,26921987568,27305273268,27734553252,28117838952,28501124652,28899741780,29329021764,29696976036,30172250304,30616861716,31107467412,31552078824,31996690236,32471964504,32947238772,33284530188,33928450164,34465050144,34924992984,35384935824,35982861516,36458135784,36810758628,37316695752,37791970020,38313238572,38711855700,39095141400,39662404236,40229667072,40643615628,41440849884,41977449864,42498718416,43265289816,43755895512,44307826920,44921084040,45626329728,46132266852,46730192544,47297455380,47757398220,48339992484,48922586748,49474518156,50179763844,50839015248,51314289516,51789563784,52540803756,53092735164,53828643708,54886512240,55545763644,56189683620,56772277884,57293546436,57906803556,58474066392,59148649224,59807900628,60421157748,60973089156,61586346276,62567557668,63625426200,64346003316,65281220424,65894477544,66431077524,66937014648,67550271768,68132866032,69773328828,70877191644,71873734464,73054254420,73698174396,74388088656,75307974336,76212528588,77178408552,78113625660,79324808472,80352014148,81287231256,82222448364,83832248304,85488042528,86530579632,87680436732,88983608112,89949488076,90838710900,91712602296,92479173696,93322402236,94364939340,95346150732,96557333544,97814510640,98765059176
BE,比利时,比利时,https://www.fluentpython.com/data/flags/be/be.gif,欧洲,BE,0,0,30662856,45994284,91988568,122651424,137982852,153314280,214639992,245302848,260634276,275965704,291297132,321959988,337291416,352622844,383285700,398617128,413948556,429279984,444611412,475274268,490605696,505937124,521268552,536599980,551931408,567262836,582594264,597925692,628588548,643919976,674582832,674582832,689914260,720577116,751239972,781902828,812565684,827897112,858559968,889222824,919885680,965879964,996542820,1027205676,1057868532,1088531388,1119194244,1134525672,1165188528,1195851384,1226514240,1257177096,1303171380,1349165664,1395159948,1441154232,1471817088,1517811372,1563805656,1594468512,1625131368,1640462796,1717119936,1809108504,1855102788,1916428500,2008417068,2069742780,2146399920,2192394204,2253719916,2315045628,2407034196,2468359908,2514354192,2560348476,2637005616,2698331328,2759657040,2805651324,2851645608,2928302748,3035622744,3081617028,3158274168,3219599880,3311588448,3464902728,3633548436,3740868432,3802194144,3894182712,3955508424,4047496992,4154816988,4231474128,4369456980,4492108404,4584096972,4676085540,4768074108,4875394104,4952051244,5028708384,5136028380,5228016948,5442656940,5611302648,5718622644,5841274068,5948594064,6086576916,6270554052,6408536904,6638508324,6945136884,7251765444,7543062576,7819028280,8110325412,8524273968,8861565384,9229519656,9597473928,9965428200,10486696752,10885313880,11406582432,11835862416,12403125252,12863068092,13307679504,13828948056,14442205176,14902148016,15484742280,16266645108,16818576516,17370507924,18075753612,19041633576,19946187828,20513450664,21126707784,21678639192,22261233456,22859159148,24346307664,24913570500,25342850484,25879450464,26354724732,26952650424,27673227540,28255821804,28869078924,29589656040,30187581732,30754844568,31383433116,32042684520,32625278784,33913118736,34833004416,35584244388,36320152932,37270701468,37960615728,38696524272,39601078524,40290992784,40980907044,41686152732,42268746996,42882004116,43587249804,44353821204,45089729748,45764312580,46576878264,47496763944,48385986768,49597169580,50578380972,51590255220,52479478044,53307375156,54181266552,55131815088,56128357908,57646169280,58903346376,60298506324,61785654840,62766866232,63640757628,64560643308,65587848984,66937014648,68240186028,69941974536,71168488776,72379671588,73805494392,75629934324,77193739980,78742214208,80045385588,81179911260,82145791224,83111671188,84292191144,85304065392,86653231056,88293693852,89673522372,91130008032,92356522272,93644362224
