alpha_2,region,,flag,大洲:,origin name,Let's Go,,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01
TH,泰国,泰国,https://www.fluentpython.com/data/flags/th/th.gif,亚洲,TH,0,0,1100368476,2037719400,3423368592,4727509008,6072403812,7417298616,8802947808,10025579448,11329719864,12796877832,14467807740,16790807856,18624755316,20499457164,22659439728,24819422292,26979404856,28813352316,30525036612,32440492848,34152177144,35904615828,37697808900,39368738808,41039668716,42629089848,44422282920,46256230380,48334704168,50657704284,52736178072,54855406248,56648599320,58523301168,60316494240,62680248744,64636459368,66796441932,69078687660,71360933388,74254494936,76862775768,79267284660,81468021612,83505741012,86480811336,89129846556,91045302792,92960759028,95283759144,98095811916,100744847136,102945584088,104942549100,106817250948,108651198408,110851935360,113663988132,115742461920,118350742752,120959023584,122955988596,125360497488,127765006380,130373287212,133063076820,135263813772,137627568276,139869059616,142558849224,144718831788,147653147724,150057656616,153644042760,157719481560,161346622092,164036411700,166726201308,169252973364,171535219092,173613692880,175895938608,177852149232,180297412512,182538903852,184698886416,186899623368,189263377872,191749395540,194724465864,197169729144,200104045080,202834589076,205402115520,207806624412,209966606976,211759800048,213349221180,215183168640,217220888040,219380870604,221174063676,222763484808,224149134000,226186853400,228265327188,230384555364,232870573032,234704520492,236293941624,238005625920
SK,斯洛伐克,斯洛伐克,https://www.fluentpython.com/data/flags/sk/sk.gif,欧洲,SK,0,0,244526328,529807044,937350924,1426403580,2078473788,3301105428,4686754620,6113158200,7091263512,7743333720,8436158316,8762193420,9292000464,9862561896,10392368940,11044439148,11900281296,13122912936,14182527024,15812702544,16953825408,17891176332,18624755316,19358334300,19969650120,20662474716,21436808088,22211141460,22985474832,24371124024,26123562708,27631475064,28731843540,29587685688,30688054164,31788422640,33011054280,34029913980,35048773680,36189896544,37738563288,39450247584,41691738924,44259265368,45970949664,47845651512,49312809480,50535441120,51717318372,53306739504,54814651860,56118792276,57789722184,60031213524,61946669760,63943634772,65981354172,67978319184,69771512256,72094512372,75028828308,77270319648,79634074152,82812916416,86562320112,90148706256,93490566072,97566004872,100867110300,103638408684,106246689516,109466286168,112441356492,116150005800,119084321736,122426181552,125523515040,129272918736,132818550492,136527199800,139257743796,141866024628,144270533520,147164095068,149935393452,153481025208,156863639412,160083236064,163099060776,166237148652,169130710200,172350306852,175406885952,178667236992,181886833644,185310202236,188163009396,190608272676,193298062284,196436150160,199492729260,202427045196,206176448892,209110764828,211719045660,214449589656,217669186308,221133309288,224760449820,227572502592,231158888736
CZ,捷克,捷克,https://www.fluentpython.com/data/flags/cz/cz.gif,欧洲,CZ,0,0,366789492,937350924,1385649192,1833947460,2567526444,3138087876,3423368592,3790158084,4197701964,4564491456,4972035336,5298070440,5827877484,6194666976,6846737184,7539561780,7987860048,8599175868,8965965360,9577281180,10107088224,10718404044,11370474252,11941035684,12389333952,12837632220,13285930488,13856491920,14467807740,15038369172,15853456932,16546281528,17198351736,17972685108,18502492152,19439843076,20417948388,21314544924,22333404624,23189246772,24615650352,25879036380,27020159244,28202036496,29261650584,31014089268,32155212132,33744633264,35008019292,36515931648,38227615944,39939300240,41732493312,43892475876,45604160172,47519616408,50331669180,52980704400,55629739620,58564055556,61824406596,64554950592,67203985812,70668108792,74743547592,78655968840,82079337432,86154776232,89537390436,92960759028,95732057412,98992408452,102538040208,106042917576,109017987900,112319093328,115457181204,118758286632,122140900836,125319743100,127887269544,130740076704,133552129476,136527199800,139624533288,143333182596,146715796800,150546709272,153929323476,157637972784,160816815048,164892253848,168234113664,171861254196,175447640340,179115535260,182457395076,186043781220,189222623484,192931272792,196191623832,199329711708,202671571524,205891168176,208458694620,211229993004,214408835268,217913712636,220970291736,224638186656,228428344740
CH,瑞士,瑞士,https://www.fluentpython.com/data/flags/ch/ch.gif,欧洲,CH,0,0,448298268,774333372,1100368476,1426403580,1630175520,1996965012,2445263280,2812052772,3219596652,3586386144,3993930024,4279210740,4727509008,5216561664,5787123096,6276175752,6724474020,7172772288,7661824944,8150877600,8558421480,9047474136,9414263628,9862561896,10433123328,10962930372,11451983028,12063298848,12674614668,13408193652,14182527024,14916106008,15527421828,16342509588,17279860512,18257965824,19399088688,20540211552,21599825640,22537176564,24085843308,25226966172,26368089036,27468457512,28487317212,30117492732,31421633148,32970299892,34315194696,36515931648,38146107168,39980054628,42140037192,44014739040,45522651396,47193581304,49557335808,51513546432,53999564100,57137651976,59868195972,62517231192,65003248860,68222845512,72298284312,76006933620,78737477616,82405372536,86114021844,89741162376,93205285356,96506390784,99603724272,102986338476,106694987784,110281373928,113827005684,117617163768,120510725316,123485795640,125849550144,128457830976,130821585480,133552129476,136730971740,140358112272,143373936984,146960323128,149853884676,153318007656,156170814816,159594183408,162406236180,165625832832,169334482140,172839359508,175977447384,178993272096,181968342420,185147184684,189059605932,192686746464,195539553624,198392360784,201448939884,204260992656,207195308592,210577922796,213756765060,216731835384,219951432036
PT,葡萄牙,葡萄牙,https://www.fluentpython.com/data/flags/pt/pt.gif,欧洲,PT,0,0,40754388,81508776,163017552,203771940,285280716,407543880,570561432,733578984,896596536,1018859700,1181877252,1344894804,1467157968,1711684296,1915456236,2159982564,2404508892,2730543996,2934315936,3260351040,3504877368,3749403696,3993930024,4360719516,4768263396,5012789724,5338824828,5705614320,6153912588,6602210856,7050509124,7580316168,8069368824,8558421480,9332754852,10147842612,11003684760,12104053236,13448948040,14834597232,16546281528,18584000928,20540211552,22577930952,24371124024,26408843424,28242790884,30606545388,32848036728,35334054396,37779317676,40346844120,42995879340,45237370680,47845651512,50250160404,53306739504,55425967680,58441792392,61987424148,65329283964,68263599900,70708863180,73765442280,77148056484,80449161912,83261214684,87336653484,90597004524,93490566072,96384127620,99848250600,102701057760,105431601756,108121391364,111789286284,115090391712,118717532244,122263164000,125605023816,128131795872,130617813540,133144585596,136445691024,140032077168,143659217700,146675042412,149894639064,153195744492,156904393800,159879464124,163873394148,167378271516,170760885720,174184254312,177892903620,180745710780,183313237224,186573588264,189507904200,192605237688,195702571176,198759150276,201571203048,204220238268,206665501548,209355291156,212208098316,214653361596,217587677532,219910677648
PL,波兰,波兰,https://www.fluentpython.com/data/flags/pl/pl.gif,欧洲,PL,0,0,326035104,692824596,978105312,1304140416,1589421132,2037719400,2445263280,2934315936,3464122980,3953175636,4360719516,4768263396,5175807276,5787123096,6235421364,6724474020,7254281064,7824842496,8436158316,9210491688,9821807508,10473877716,11125947924,11778018132,12470842728,13082158548,13693474368,14345544576,15282895500,16261000812,17279860512,18298720212,19073053584,20010404508,21151527372,22537176564,23882071368,25145457396,26408843424,27753738228,29424668136,30851071716,32155212132,33459352548,34804247352,36393668484,37942335228,39531756360,40998914328,42873616176,44666809248,46460002320,48212441004,49883370912,51839581536,53918055324,56241055440,58319529228,60724038120,63739862832,66796441932,69690003480,72461301864,75436372188,79267284660,82527635700,85421197248,89496636048,92471706372,95324513532,98218075080,101519180508,104535005220,107713847484,110444391480,113908514460,117087356724,120429216540,123648813192,126990673008,129476690676,131758936404,134122690908,136730971740,139950568392,143577708924,146512024860,149853884676,152910463776,156496849920,159431165856,162936043224,165788850384,168723166320,172472570016,176099710548,179156289648,181927588032,184943412744,188163009396,191260342884,194235413208,196925202816,199492729260,201489694272,203486659284,205646641848,208540203396,211066975452,214042045776,216487309056
HU,匈牙利,匈牙利,https://www.fluentpython.com/data/flags/hu/hu.gif,欧洲,HU,0,0,203771940,407543880,570561432,815087760,978105312,1222631640,1548666744,1956210624,2323000116,2567526444,2812052772,3015824712,3260351040,3627140532,3912421248,4319965128,4768263396,5175807276,5583351156,6153912588,6561456468,7050509124,7580316168,8232386376,8884456584,9414263628,10025579448,10799912820,11778018132,12756123444,13652719980,14834597232,15690439380,16587035916,17361369288,18787772868,20254930836,21436808088,22822457280,24534141576,26734878528,28568825988,30076738344,32114457744,33581615712,35415563172,37208756244,39001949316,40835896776,43077388116,45237370680,47356598856,49394318256,51309774492,53632774608,56322564216,59175371376,61579880268,64595704980,67570775304,70749617568,73317144012,75925424844,78859740780,82079337432,85298934084,88233250020,91656618612,94631688936,97525250484,99970513764,102741812148,105187075428,107428566768,109588549332,112441356492,114927374160,117617163768,120429216540,123567304416,125931058920,128213304648,130291778436,132900059268,135671357652,138768691140,141662252688,144637323012,147571638948,151076516316,154051586640,157271183292,160164744840,163343587104,166929973248,170271833064,173165394612,175814429832,178626482604,181601552928,185676991728,189670921752,192727500852,195539553624,197984816904,200878378452,203731185612,206706255936,209233027992,211719045660,214368080880
LA,老挝,老挝,https://www.fluentpython.com/data/flags/la/la.gif,亚洲,LA,0,0,122263164,122263164,122263164,244526328,244526328,774333372,1467157968,1752438684,2363754504,3301105428,4156947576,6805982796,8884456584,11207456700,13897246308,16016474484,17646650004,18991544808,20336439612,22292650236,23963580144,25267720560,26979404856,28365054048,30199001508,31584650700,32114457744,33622370100,35578580724,37208756244,38757422988,40713633612,42669844236,43933230264,45400388232,46908300588,48619984884,50698458672,51961844700,52899195624,55059178188,56607844932,58075002900,59419897704,60520266180,62354213640,64228915488,66470406828,68589635004,71238670224,73154126460,74662038816,76495986276,78778232004,80938214568,82731407640,85298934084,88600039512,90760022076,94061127504,97769776812,101152391016,104331233280,107591584320,111014952912,114927374160,118432251528,122140900836,124871444832,127846515156,130658567928,132818550492,135019287444,136975498068,138809445528,141866024628,144596568624,147490130172,150261428556,153032726940,154866674400,156741376248,158453060544,160123990452,161917183524,163465850268,165218288952,167704306620,169823534796,172105780524,173939727984,176588763204,178830254544,181153254660,182701921404,184739640804,186614342652,188652062052,190649027064,192564483300,195050500968,197658781800,199696501200,201530448660,203445904896,205361361132,207154554204,209355291156,211026221064,212411870256,213797519448
AT,奥地利,奥地利,https://www.fluentpython.com/data/flags/at/at.gif,欧洲,AT,0,0,122263164,244526328,448298268,692824596,896596536,1181877252,1467157968,1833947460,2119228176,2323000116,2608280832,2730543996,2975070324,3260351040,3545631756,3830912472,4156947576,4523737068,4727509008,5053544112,5338824828,5705614320,6153912588,6602210856,7050509124,7417298616,7906351272,8517667092,9169737300,9740298732,10310860164,10799912820,11451983028,12104053236,12796877832,13815737532,14875351620,16016474484,17035334184,18013439496,19684369404,20825492268,21925860744,23107737996,24330369636,26164317096,27590720676,29057878644,30688054164,32848036728,34804247352,36678949200,38879686152,40795142388,42792107400,44829826800,47478862020,49801862136,52532406132,55915020336,58890090660,61946669760,65003248860,68671143780,72746582580,76822021380,79552565376,83220460296,86888355216,90597004524,93653583624,97076952216,100133531316,103719917460,106980268500,110811180972,114153040788,117535654992,120429216540,123485795640,126012567696,128294813424,130903094256,133715147028,136853234904,140317357884,143373936984,146267498532,148916533752,151891604076,154744411236,157882499112,160653797496,163547359044,166685446920,169579008468,172554078792,175284622788,178178184336,181234763436,185310202236,188692816440,191423360436,193705606164,196110115056,198351606396,200756115288,203894203164,206420975220,209559063096,212534133420
AU,澳大利亚,澳大利亚,https://www.fluentpython.com/data/flags/au/au.gif,澳洲,AU,0,0,122263164,244526328,366789492,489052656,611315820,855842148,1100368476,1263386028,1507912356,1752438684,1996965012,2200736952,2445263280,2812052772,3138087876,3504877368,3871666860,4238456352,4605245844,5094298500,5501842380,5868631872,6357684528,6887491572,7621070556,8110123212,8517667092,9332754852,10188597000,11044439148,12348579564,13163667324,14060263860,14956860396,16057228872,17646650004,19154562360,20214176448,21436808088,22700194116,24452632800,25919790768,27060913632,28079773332,29302404972,31421633148,33255580608,35171036844,37045738692,39857791464,42221545968,44870581188,48008669064,50453932344,52613914908,54529371144,57789722184,60520266180,63739862832,67040968260,70179056136,72909600132,75395617800,78289179348,82120091820,85258179696,88029478080,91412092284,94916969652,98625618960,101722952448,104657268384,107632338708,110444391480,113052672312,116842830396,120143935824,123445041252,126460865964,129150655572,131473655688,133796655804,136160410308,138564919200,141295463196,144474305460,147001077516,149772375900,152217639180,154907428788,157230428904,160246253616,163425095880,166603938144,169619762856,172635587568,175040096460,177077815860,179237798424,181723816092,185799254892,189874693692,192727500852,195009746580,197577273024,199981781916,202549308360,205483624296,207684361248,209681326260,211841308824
