alpha_2,region,,flag,大洲:,origin name,Let's Go,,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01
UA,乌克兰,乌克兰,https://www.fluentpython.com/data/flags/ua/ua.gif,欧洲,UA,0,0,61325712,229971420,398617128,521268552,751239972,1027205676,1272508524,1487148516,1732451364,1916428500,2023748496,2192394204,2345708484,2560348476,2713662756,2943634176,3127611312,3403577016,3710205576,3894182712,4047496992,4216142700,4369456980,4522771260,4737411252,4967382672,5212685520,5411994084,5687959788,5979256920,6224559768,6515856900,6715165464,6914474028,7129114020,7359085440,7635051144,7911016848,8156319696,8386291116,8646925392,8922891096,9168193944,9428828220,9674131068,9888771060,10134073908,10410039612,10686005316,10961971020,11237936724,11529233856,11774536704,12096496692,12403125252,12709753812,12985719516,13246353792,13522319496,13721628060,13966930908,14212233756,14472868032,14748833736,14978805156,15285433716,15653387988,16021342260,16312639392,16603936524,16895233656,17171199360,17493159348,17815119336,18060422184,18336387888,18673679304,19087627860,19486244988,19808204976,20084170680,20375467812,20682096372,21004056360,21372010632,21801290616,22215239172,22659850584,23104461996,23610399120,24070341960,24530284800,24959564784,25358181912,25756799040,26109421884,26508039012,26891324712,27274610412,27673227540,28087176096,28516456080,29007061776,29467004616,29896284600,30279570300,30662856000,31046141700,31429427400,31797381672,32165335944,32594615928,33008564484,33453175896,33913118736,34357730148,34756347276,35154964404,35522918676,35890872948,36320152932,36718770060,37132718616,37761307164,38972489976,39754392804,40474969920,41609495592,42713358408,43433935524,44093186928,44752438332,45948289716,46684198260,47312786808,48002701068,48677283900,49428523872,50149100988,50915672388,51574923792,52264838052,52939420884,53598672288,54303917976,54947837952,55607089356,56281672188,56986917876,57722826420,58474066392,59317294932,60007209192,60697123452,61387037712,62076951972,62828191944,63548769060,64284677604,65020586148,65787157548,66661048944,67580934624,68470157448,69298054560,70064625960,70815865932,71567105904,72425665872,73268894412,74173448664,75016677204,75936562884,76856448564,77868322812,78895528488,79846077024,80735299848,81609191244,82498414068,83448962604,84307522572,85242739680,86208619644,87235825320,88339688136,89504876664,90685396620,91727933724,92770470828,93813007932,94763556468,95714105004,96787304964,97845173496,98765059176,99776933424,100926790524,102137973336,103303161864,104422356108,105526218924,106553424600,107565298848,108669161664,109773024480,110892218724,111996081540,113207264352,114510435732,115813607112,117132109920,118297298448,119401161264,120428366940,121501566900,122574766860,123908601096,125441743896,126438286716
DZ,阿尔及利亚,阿尔及利亚,https://www.fluentpython.com/data/flags/dz/dz.gif,非洲,DZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429279984,935217108,1119194244,1625131368,2207725632,2728994184,3188937024,3664211292,4047496992,4584096972,5228016948,5687959788,6316548336,6761159748,7328422584,8079662556,8692919676,9827445348,10931308164,11927850984,13093039512,14242896612,15270102288,16711256520,18029759328,19332930708,20268147816,21172702068,22000599180,23104461996,24177661956,25710804756,26508039012,27550576116,27550576116,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27565907544,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27581238972,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27596570400,27611901828,27611901828,27627233256,27627233256,27627233256,27627233256,27642564684,27642564684,27642564684,27642564684,27642564684,27642564684,27657896112,27657896112,27657896112,27657896112,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27673227540,27688558968,27688558968,27688558968,27703890396,27703890396,27703890396,27703890396,27719221824,27826541820,27903198960
GH,加纳,加纳,https://www.fluentpython.com/data/flags/gh/gh.gif,非洲,GH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,827897112,827897112,827897112,827897112,827897112,827897112,827897112,827897112,1487148516,1487148516,1487148516,1487148516,1487148516,1487148516,2146399920,2146399920,2146399920,2146399920,2759657040,2759657040,2759657040,2759657040,2759657040,2759657040,2759657040,2759657040,2759657040,4292799840,4829399820,5963925492,5963925492,5963925492,5963925492,5963925492,5963925492,5963925492,6853148316,6853148316,6853148316,7267096872,7267096872,7267096872,7267096872,7711708284,7711708284,7711708284,7711708284,7711708284,7711708284,7711708284,7711708284,7711708284,8110325412,8110325412,8110325412,8110325412,8110325412,8508942540,8907559668,8907559668,9704793924,10088079624,10088079624,10088079624,10471365324,10839319596,11191942440,11191942440,12249810972,12633096672,12985719516,13338342360,13675633776,14012925192,14702839452,15024799440,15684050844,16021342260,16021342260,16343302248,17201862216,17493159348,17493159348,17493159348,17753793624,18014427900,18014427900,19056965004,19854199260,20130164964,20390799240,20390799240,20620770660,20866073508,20866073508,20866073508,21372010632,21372010632,21617313480,22107919176,22107919176,22905153432,22905153432,22905153432,24376970520,24376970520
BE,比利时,比利时,https://www.fluentpython.com/data/flags/be/be.gif,欧洲,BE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45994284,45994284,45994284,45994284,45994284,45994284,45994284,76657140,76657140,76657140,76657140,76657140,122651424,153314280,153314280,199308564,229971420,260634276,260634276,260634276,260634276,275965704,275965704,291297132,291297132,291297132,291297132,291297132,291297132,291297132,306628560,306628560,337291416,352622844,367954272,367954272,367954272,367954272,383285700,398617128,398617128,398617128,413948556,413948556,413948556,459942840,582594264,705245688,889222824,1103862816,1364497092,1640462796,1977754212,2483691336,2912971320,3434239872,4154816988,5074702668,5841274068,6684502608,7313091156,8094993984,8938222524,9689462496,10440702468,11437245288,12127159548,12863068092,13644970920,14396210892,15254770860,15270102288,15270102288,15270102288,15270102288,15285433716,15285433716,15300765144,15300765144,15300765144,15300765144,15300765144,15300765144,15300765144,15300765144,15316096572,15316096572,15316096572,15331428000,15331428000,15331428000,15331428000,15331428000,15331428000,15346759428,15346759428,15346759428,15346759428,15346759428,15362090856,15362090856,15362090856,15362090856,15377422284,15377422284,15377422284,15377422284,15377422284,15392753712,15408085140,15423416568,15500073708,15500073708,15500073708,15546067992,15653387988,15668719416,15714713700,15745376556,15868027980,16006010832,16052005116,16082667972,16113330828,16128662256,16143993684,16174656540,16174656540,16174656540,16174656540,16174656540,16189987968,16189987968,16189987968,16205319396,16205319396,16220650824,16235982252,16266645108,16297307964,16297307964,16312639392,16312639392,16312639392,16327970820,16358633676,16358633676,16358633676,16358633676,16373965104,16373965104,16389296532,16389296532,16404627960,16404627960,16404627960,16404627960,16419959388,16435290816,16435290816,16435290816,16450622244,16481285100,16481285100,16496616528,16527279384,16542610812,16557942240,16557942240,16573273668,16573273668,16588605096,16603936524,16619267952,16649930808,16665262236,16665262236,16665262236,16680593664,16680593664,16695925092,16711256520,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16726587948,16741919376,16741919376,16741919376,16757250804,16772582232,16787913660,16803245088,16818576516,16864570800,17063879364,18597022164,19562902128
AZ,阿塞拜疆,阿塞拜疆,https://www.fluentpython.com/data/flags/az/az.gif,亚洲,AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1379828520,1379828520,1379828520,2514354192,2514354192,2514354192,2514354192,2514354192,2514354192,3434239872,3434239872,3434239872,4292799840,4292799840,4292799840,4292799840,4292799840,4292799840,4292799840,4814068392,4814068392,4814068392,4814068392,4814068392,5289342660,5289342660,5289342660,5672628360,5672628360,5672628360,5672628360,5672628360,6086576916,6086576916,6086576916,6086576916,6439199760,6439199760,6439199760,6439199760,6592514040,6745828320,6745828320,6745828320,6745828320,6745828320,6745828320,6745828320,7205771160,7313091156,7405079724,7481736864,7558394004,7711708284,7711708284,7711708284,7788365424,7865022564,8186982552,8248308264,8309633976,8432285400,8432285400,8432285400,8432285400,8478279684,8554936824,8554936824,8631593964,8677588248,8754245388,8830902528,8876896812,8876896812,8907559668,8968885380,9060873948,9060873948,9152862516,9152862516,9444159648,9536148216,9597473928,9720125352,9965428200,9965428200,10134073908,10180068192,10502028180,10532691036,10640011032,10686005316,10793325312,10946639592,10977302448,11007965304,11053959588,11145948156,11191942440,11207273868,11253268152,11314593864,11375919576,11437245288,11437245288,11452576716,11467908144,11513902428,11544565284,11590559568,11621222424,11774536704,11774536704,11805199560,11866525272,11927850984,12004508124,12065833836,12265142400,12295805256,12357130968,12433788108,12541108104,12541108104,12617765244,12663759528,12663759528,12694422384,12740416668,12771079524,12801742380,12878399520,13016382372,13047045228,13154365224,13261685220,13292348076,13399668072,13399668072,13430330928,13460993784,13491656640,13537650924,13583645208,13614308064,13706296632,13798285200,13890273768,13936268052,13951599480,13997593764,14043588048,14058919476,14135576616,14242896612,14319553752,14319553752,14350216608,14396210892,14411542320,14457536604,14580188028,14687508024,14748833736,14825490876,14825490876,14871485160,14994136584,15024799440,15101456580,15147450864,15254770860,15254770860,15714713700,17247856500,18505033596
UZ,乌兹别克,乌兹别克,https://www.fluentpython.com/data/flags/uz/uz.gif,亚洲,UZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,2652337044,2652337044,2652337044,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,3924845568,5044039812,5044039812,5044039812,5044039812,5044039812,5810611212,6209228340,6209228340,6209228340,6209228340,6209228340,6209228340,6209228340,6899142600,6899142600,6899142600,6899142600,6899142600,7221102588,7374416868,7374416868,7374416868,7374416868,7374416868,7374416868,7374416868,7374416868,7374416868,7512399720,7512399720,7512399720,7512399720,7512399720,7711708284,7711708284,7803696852,7803696852,7972342560,8064331128,8064331128,8064331128,8064331128,8125656840,8125656840,8125656840,8401622544,8846233956,8999548236,9214188228,9505485360,10011422484,10226062476,10287388188,10287388188,10563353892,10793325312,10961971020,11023296732,11145948156,11329925292,11391251004,11498571000,11559896712,11559896712,11605890996,11651885280,11651885280,11651885280,11651885280,11651885280,11651885280,11651885280,11697879564,11697879564,11789868132,11835862416,11881856700,11881856700,11912519556,11912519556,11912519556,11943182412,11943182412,12019839552,12065833836,12065833836,12142490976,12142490976,12219148116,12265142400,12265142400,12295805256,12295805256,12295805256,12326468112,12326468112,12403125252,12433788108,12433788108,12433788108,12495113820,12541108104,12556439532,12663759528,12679090956,12679090956,12679090956,12694422384,12740416668,12755748096,12755748096,12786410952,12817073808,12817073808,12817073808,12863068092,12893730948,12909062376,12955056660,12955056660,12985719516,13031713800,13047045228,13093039512,13154365224,13169696652,13200359508,13215690936,13215690936,13246353792,13292348076,13307679504,13353673788,13384336644,13414999500,13460993784,13491656640,13522319496,13537650924,13813616628,15346759428,16327970820
NG,尼日利亚,尼日利亚,https://www.fluentpython.com/data/flags/ng/ng.gif,非洲,NG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444611412,444611412,444611412,444611412,444611412,781902828,781902828,781902828,781902828,781902828,1165188528,1165188528,1165188528,1165188528,1517811372,1517811372,1517811372,1517811372,1517811372,1517811372,1517811372,1517811372,1517811372,1517811372,1517811372,1839771360,1839771360,1839771360,1839771360,2054411352,2269051344,3188937024,4722079824,5090034096,5274011232,5274011232,5764616928,5948594064,5948594064,5948594064,5948594064,5948594064,5948594064,5948594064,6147902628,6316548336,6316548336,6316548336,6439199760,6439199760,6439199760,6561851184,6561851184,6699834036,6699834036,6699834036,6837816888,6837816888,6960468312,7313091156,7420411152,7420411152,7420411152,7420411152,7420411152,7420411152,7527731148,7727039712,7727039712,7727039712,7727039712,7727039712,7834359708,7941679704,7941679704,8156319696,8156319696,8370959688,8370959688,8570268252,8662256820,8662256820,8662256820,8662256820,8769576816,8769576816,8769576816,8984216808,9306176796,9520816788,9520816788,9919433916,10011422484,10210731048,10318051044,10410039612,10502028180,10686005316,10869982452,10961971020,10961971020,11130616728,11360588148,11360588148,11513902428,11590559568,11743873848,12065833836,12065833836,12234479544,12372462396,12587102388,12648428100,12801742380,13016382372,13215690936,13353673788,13644970920,13798285200,13951599480,13951599480,14028256620,14902148016,15730045128
KE,肯尼亚,肯尼亚,https://www.fluentpython.com/data/flags/ke/ke.gif,非洲,KE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,199308564,291297132,291297132,291297132,352622844,352622844,352622844,352622844,459942840,735908544,781902828,1134525672,1517811372,1855102788,2100405636,2192394204,2774988468,3004959888,3725537004,5028708384,6393205476,7926348276,8876896812,10026753912,10624679604,10624679604,10624679604,10624679604,10624679604,10624679604,10624679604,10624679604,10624679604,10655342460,10686005316,10686005316,10686005316,10686005316,10686005316,10716668172,10747331028,10747331028,10747331028,10747331028,10839319596,10977302448,11053959588,11130616728,11345256720,11345256720,11421913860,11467908144,11927850984,12173153832,12173153832,12203816688,12234479544,12265142400,12265142400,12295805256,12295805256,12295805256,12372462396,12372462396,12418456680,12725085240,12725085240,12755748096,12801742380,12832405236,12878399520,12909062376,12970388088,13016382372,13047045228,13047045228,13047045228,13077708084,13077708084,13093039512,13108370940,13123702368,13139033796,13154365224,13169696652,13215690936,13338342360,13399668072,13445662356,13506988068,13522319496,13568313780,13736959488,13752290916,13798285200,13813616628,13828948056,13844279484,13890273768,14365548036,14886816588
CD,刚果民主,刚果民主,https://www.fluentpython.com/data/flags/cd/cd.gif,非洲,CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,383285700,383285700,383285700,383285700,383285700,383285700,383285700,705245688,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,981211392,1502479944,1717119936,1901097072,2100405636,2100405636,2100405636,2100405636,2100405636,2100405636,2269051344,2269051344,2269051344,2453028480,2453028480,2637005616,2637005616,2637005616,2637005616,3173605596,3480234156,4108822704,5105365524,5105365524,5274011232,6209228340,6377874048,6531188328,6531188328,6699834036,6699834036,6883811172,7037125452,7481736864,8202313980,8202313980,8202313980,9106868232,9735456780,9888771060,10195399620,10808656740,10808656740,10808656740,10808656740,10808656740,10808656740,10808656740,10808656740,10808656740,10808656740,10946639592,10946639592,11084622444,11084622444,11084622444,11207273868,11314593864,11421913860,11421913860,11421913860,11897188128,11897188128,12111828120,12219148116,12219148116,12219148116,12219148116,13752290916,14794828020
EG,埃及,埃及,https://www.fluentpython.com/data/flags/eg/eg.gif,非洲,EG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1533142800,1778445648,1778445648,1993085640,1993085640,1993085640,1993085640,1993085640,1993085640,1993085640,1993085640,1993085640,1993085640,1993085640,1993085640,2131068492,2131068492,2131068492,2131068492,2253719916,2253719916,2253719916,2253719916,2361039912,2361039912,2361039912,2361039912,2483691336,2483691336,2575679904,2575679904,2575679904,2575679904,2575679904,2575679904,2575679904,2575679904,2575679904,2637005616,2637005616,2637005616,2744325612,2744325612,2744325612,2744325612,2790319896,2790319896,2943634176,2989628460,2989628460,2989628460,3081617028,3127611312,3127611312,3173605596,3219599880,3311588448,3311588448,3311588448,3342251304,3342251304,3418908444,3418908444,3495565584,3572222724,3602885580,3602885580,3633548436,3664211292,3694874148,3771531288,3848188428,3878851284,3955508424,3955508424,3955508424,4062828420,4154816988,4185479844,4246805556,4277468412,4400119836,4430782692,4461445548,4461445548,4461445548,4522771260,4522771260,4522771260,4553434116,4553434116,4722079824,4783405536,4814068392,4814068392,4844731248,4875394104,4936719816,4998045528,5059371240,5090034096,5090034096,5090034096,5197354092,5289342660,5350668372,5350668372,5381331228,5411994084,5411994084,5580639792,5687959788,5810611212,5841274068,5948594064,5979256920,5979256920,6040582632,6040582632,6132571200,6163234056,6255222624,6469862616,6592514040,6623176896,6761159748,7037125452,7343754012,7497068292,7665714000,7773033996,7849691136,7987673988,8248308264,8324965404,8493611112,8600931108,8723582532,8846233956,8938222524,9060873948,9152862516,9214188228,9290845368,9382833936,9428828220,9520816788,9628136784,9704793924,9735456780,9888771060,10118742480,10241393904,10287388188,10333382472,10548022464,10624679604,10777993884,10931308164,11130616728,11329925292,11406582432,11805199560,13123702368,14549525172
